LastName,FirstName,StateAbbreviation.x.114,Party.x.114,Amount.oil.114,Amount.coal.114,Amount.mining.114,Amount.gas.114,Amount.env.114,Amount.alt_en.114,Amount.oil.115,Amount.coal.115,Amount.mining.115,Amount.gas.115,Amount.env.115,Amount.alt_en.115,Amount.oil.116,Amount.coal.116,Amount.mining.116,Amount.gas.116,Amount.env.116,Amount.alt_en.116
Adams,Alma,NC,D,0,0,0,0,6390,0,0,0,0,0,8508,0,3,0,0,0,2263,0
Aderholt,Robert B,AL,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguilar,Pete,CA,D,500,0,0,0,43561,250,1103,0,0,1100,30846,1528,4983,0,0,646,8075,1528
Allen,Richard W,GA,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amash,Justin,MI,R,28000,0,0,0,0,0,22650,0,0,0,0,0,19900,0,0,0,0,0
Amodei,Mark,NV,R,8750,0,28000,2500,0,3000,10000,0,38450,2000,0,0,26000,1000,45700,6000,0,0
Ashford,Brad,NE,D,500,0,0,0,8990,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Babin,Brian,TX,R,41050,0,0,2500,0,0,53650,0,4700,7700,1000,0,81357,0,5400,11400,0,0
Barletta,Lou,PA,R,33020,750,1750,4500,0,0,34550,4200,4950,9000,0,0,NA,NA,NA,NA,NA,NA
Barr,Andy,KY,R,41050,168131,240810,1500,0,700,38500,87200,98050,3000,0,0,113547,74650,153625,20452,0,0
Barton,Joe,TX,R,142100,5500,10500,9500,0,0,234282,4500,6500,18450,0,1000,NA,NA,NA,NA,NA,NA
Bass,Karen,CA,D,3250,0,3500,750,3600,1000,1000,0,5000,0,8700,1000,3500,0,1000,0,1100,1000
Beatty,Joyce,OH,D,4500,0,0,0,1500,0,5550,0,0,1500,0,0,1000,0,0,0,0,0
Becerra,Xavier,CA,D,8000,0,0,2500,4000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benishek,Dan,MI,R,113950,3000,18599,1500,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bera,Ami,CA,D,14150,0,0,0,84869,2750,3095,0,0,2745,44633,2625,10,0,0,10,13880,2625
Beutler Herrera,Jaime,WA,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyer,Don,VA,D,8700,0,0,5100,17540,6450,22850,0,0,11600,5218,11900,15902,0,2500,8900,5380,11900
Bilirakis,Gus,FL,R,32500,1000,1000,1000,0,0,23700,0,0,0,0,7600,53600,0,0,7000,0,7600
Bishop,Mike,MI,R,24500,0,400,1000,0,0,20400,0,1000,0,0,0,NA,NA,NA,NA,NA,NA
Bishop,Rob,UT,R,110600,7500,17750,11000,5750,3599,151516,8000,28750,25750,14750,0,121188,16750,31750,7250,5700,0
Bishop,Sanford,GA,D,9000,1000,6000,0,0,0,14000,3000,7000,0,0,1000,11750,2500,8500,1000,0,1000
Black,Diane,TN,R,60625,1000,2000,5000,0,0,43250,0,0,3000,1000,2500,NA,NA,NA,NA,NA,NA
Blackburn,Marsha,TN,R,101600,1000,4000,13500,0,0,85900,500,500,13500,0,0,NA,NA,NA,NA,NA,NA
Blum,Rod,IA,R,6450,0,0,0,0,6250,21900,0,0,900,0,18500,NA,NA,NA,NA,NA,NA
Blumenauer,Earl,OR,D,2500,0,0,2000,11250,8842,3900,0,0,3650,10650,16220,3532,0,0,3275,4838,16220
Bonamici,Suzanne,OR,D,250,0,0,0,6390,3000,8150,0,0,2750,9358,1500,3079,0,0,2564,2951,1500
Bordallo,Madeleine Z,GU,D,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Bost,Mike,IL,R,30300,16900,16900,0,0,0,30250,27050,33400,2500,0,18000,56340,32250,86825,7899,0,18000
Boustany,Charles Jr,LA,R,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyle,Brendan,PA,D,11000,0,0,3000,4990,0,3750,0,0,3000,6899,0,6000,0,0,6000,2010,0
Brady,Kevin,TX,R,321650,3000,3000,49950,0,1000,415650,0,0,82500,0,19750,377134,1000,1000,53450,0,19750
Brady,Robert A,PA,D,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Brat,Dave,VA,R,24500,0,500,0,0,1000,7000,0,0,2000,0,2000,NA,NA,NA,NA,NA,NA
Bridenstine,James,OK,R,72950,0,0,3500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brooks,Mo,AL,R,5500,2500,2500,0,0,0,0,0,0,0,0,4000,2250,2500,16000,0,500,4000
Brooks,Susan,IN,R,40750,0,1000,1500,0,4000,35200,1750,2750,1000,2000,7500,21300,3000,9000,0,0,7500
Brown,Corrine,FL,D,5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownley,Julia,CA,D,500,0,0,0,55362,1750,1143,90,90,50,25623,505,1351,0,0,0,9201,505
Buchanan,Vernon,FL,R,3000,0,0,3000,0,0,5500,0,0,2000,500,1000,31750,0,0,0,0,1000
Buck,Ken,CO,R,124450,2000,7600,15350,0,500,64950,2300,6300,5500,0,1000,44700,0,2500,6500,0,1000
Bucshon,Larry,IN,R,20300,51050,98500,0,0,500,17000,19000,22500,0,0,250,16200,21900,23900,1000,0,250
Burgess,Michael,TX,R,67956,0,0,0,0,0,43100,0,0,0,0,5200,35250,0,0,4000,0,5200
Bustos,Cheri,IL,D,3000,0,0,2000,21946,16000,12140,0,0,4000,16006,19258,7870,3,3,1020,5929,19258
Butterfield,G K,NC,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byrne,Bradley,AL,R,35250,20000,20000,5000,1000,0,33450,10400,10900,4000,0,0,19200,0,2000,1000,2700,0
Calvert,Ken,CA,R,35000,1000,10000,2500,1000,500,62500,9500,20000,4000,0,6400,33500,0,2000,0,0,6400
Capps,Lois,CA,D,3000,0,0,0,42000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capuano,Michael E,MA,D,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Cardenas,Tony,CA,D,13500,0,0,10000,3000,250,24800,0,0,7300,6200,2000,24530,0,0,3000,1604,2000
Carney,John,DE,D,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson,Andre,IN,D,8750,0,0,0,0,0,1250,0,0,0,0,0,2250,0,0,0,250,0
Carter,Buddy,GA,R,33250,0,1000,1000,0,0,13500,0,0,1000,0,2250,68400,0,6000,6000,2500,2250
Carter,John,TX,R,49600,0,0,6000,0,0,16700,0,0,0,0,5400,62350,0,1000,5500,0,5400
Cartwright,Matt,PA,D,0,0,0,0,4000,0,2500,0,0,1000,13671,1000,7502,0,0,0,19137,1000
Castor,Kathy,FL,D,1500,0,0,1000,2500,250,0,0,0,0,3100,0,59,0,0,0,2253,0
Castro,Joaquin,TX,D,43250,0,0,3000,4000,2900,25600,0,0,2500,2000,500,12890,0,0,0,4700,500
Chabot,Steve,OH,R,14600,0,0,1000,0,0,2100,0,0,1000,750,0,20700,9250,53425,0,0,0
Chaffetz,Jason,UT,R,39350,4000,8000,3250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chu,Judy,CA,D,0,2500,2500,0,2000,0,0,0,0,0,3200,0,1000,0,0,0,2950,0
Cicilline,David,RI,D,500,0,0,0,1000,4000,0,0,0,0,2000,0,500,0,0,0,2000,0
Clark,Katherine,MA,D,15400,0,300,12400,6375,1150,7503,0,0,1000,9575,1000,8206,0,0,0,5913,1000
Clarke,Yvette,NY,D,0,0,0,0,0,0,2000,0,0,0,2000,0,1250,0,0,1000,2000,0
Clawson,Curt,FL,R,1000,0,500,0,0,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clay,William L Jr,MO,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleaver,Emanuel,MO,D,0,0,0,0,2000,0,1000,0,0,0,2000,0,0,0,0,0,2500,0
Clyburn,James E,SC,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffman,Mike,CO,R,372000,21200,44950,10750,2250,500,193244,15900,36250,4450,500,4000,NA,NA,NA,NA,NA,NA
Cohen,Steve,TN,D,250,0,0,0,5250,0,0,0,0,0,500,0,3000,0,0,0,4500,0
Cole,Tom,OK,R,123200,1000,2000,13000,0,2000,125750,17200,19200,13700,0,7493,119250,0,1000,35400,0,7493
Watson Coleman,Bonnie,NJ,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collins,Chris,NY,R,50800,0,0,17800,0,0,63950,0,0,22000,0,7500,NA,NA,NA,NA,NA,NA
Collins,Doug,GA,R,17250,0,500,2000,0,0,30250,0,0,1600,0,0,35000,0,500,2500,0,0
Comstock,Barbara,VA,R,67300,8800,10800,12150,500,0,75975,4450,9450,19000,0,0,NA,NA,NA,NA,NA,NA
Conaway,Mike,TX,R,263450,0,0,5000,0,5100,146547,3500,3500,250,0,1793,150500,0,0,1000,4750,1793
Connolly,Gerry,VA,D,5000,0,0,3000,3000,0,3800,0,0,3750,4665,0,2002,0,0,2000,1500,0
Conyers,John Jr,MI,D,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook,Paul,CA,R,4800,0,750,0,0,7100,18000,0,2750,13500,0,6400,21500,0,1450,14000,0,6400
Cooper,Jim,TN,D,6200,0,0,1000,0,0,3500,0,0,1000,0,1250,6500,0,0,0,0,1250
Costa,Jim,CA,D,99929,3000,10500,23999,3500,4000,95525,3500,6500,21000,2000,1000,98505,3500,12000,15000,3000,1000
Costello,Ryan,PA,R,31500,0,6150,11500,0,0,36250,0,1500,9500,5400,0,NA,NA,NA,NA,NA,NA
Courtney,Joe,CT,D,3500,0,0,0,5750,0,3000,0,0,2000,5550,0,750,0,0,0,3100,0
Cramer,Kevin,ND,R,272250,19400,24400,16500,0,2000,216200,26000,30000,23500,0,0,NA,NA,NA,NA,NA,NA
Crawford,Rick,AR,R,12800,0,0,2000,0,1000,6250,0,0,3000,0,0,7250,0,1000,1000,0,0
Crenshaw,Ander,FL,R,7500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley,Joseph,NY,D,5500,0,0,5500,6700,7575,18000,0,500,6000,3500,500,NA,NA,NA,NA,NA,NA
Cuellar,Henry,TX,D,135758,0,8000,16000,0,0,162952,1000,4800,22500,0,500,173919,1500,8000,17000,0,500
Culberson,John,TX,R,92150,0,0,6000,0,0,133625,0,0,22825,0,250,NA,NA,NA,NA,NA,NA
Cummings,Elijah E,MD,D,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Curbelo,Carlos,FL,R,17500,0,0,0,500,0,55400,0,0,4000,10750,7000,NA,NA,NA,NA,NA,NA
Davidson,Warren,OH,R,0,0,0,0,0,0,5416,0,1002,25,100,0,10500,0,0,0,0,0
Davis,Danny K,IL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis,Rodney,IL,R,85690,61665,110312,12500,0,17600,61750,5100,8100,15500,0,31500,73500,12600,16600,14500,0,31500
Davis,Susan,CA,D,0,0,0,0,6500,0,0,0,0,0,5200,1000,0,0,0,0,1500,1000
DeFazio,Peter,OR,D,7000,0,0,1000,3140,500,5500,0,0,0,3112,40,14500,0,0,2500,2375,40
DeGette,Diana,CO,D,1500,0,0,0,4500,250,0,0,1000,0,11150,0,6510,0,0,0,1500,0
Delaney,John K,MD,D,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
DeLauro,Rosa,CT,D,0,0,1400,0,5500,0,0,0,4575,0,5000,500,500,0,825,0,2850,500
DelBene,Suzan,WA,D,10000,0,0,0,47301,1250,10000,0,0,0,33957,300,14011,0,0,0,23051,300
Denham,Jeff,CA,R,71798,2500,10700,13000,0,0,189499,1000,6200,42999,0,2500,NA,NA,NA,NA,NA,NA
Dent,Charlie,PA,R,54900,2000,4000,7500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeSantis,Ron,FL,R,22000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desaulnier,Mark,CA,D,8000,0,0,0,5140,0,8000,0,0,0,3750,1500,7175,0,0,0,650,1500
Desjarlais,Scott,TN,R,2250,1000,1000,0,0,0,8400,800,800,0,0,0,12400,0,0,0,0,0
Deutch,Ted,FL,D,0,0,0,0,1000,2000,3500,0,0,0,2500,2000,2800,0,0,0,1700,2000
Diaz-Balart,Mario,FL,R,3500,0,0,0,8000,0,6000,0,0,3500,1000,0,26500,0,0,0,0,0
Dingell,Debbie,MI,D,14000,0,3000,6500,11076,0,14200,0,0,4000,5027,250,8000,0,0,1000,5903,250
Doggett,Lloyd,TX,D,8150,0,0,-1000,4250,4250,10800,0,0,0,2750,0,2706,0,0,0,4275,0
Dold,Bob,IL,R,25350,2600,3600,7000,5900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donovan,Dan,NY,R,0,0,0,0,0,0,26000,0,0,1000,0,0,NA,NA,NA,NA,NA,NA
Doyle,Mike,PA,D,29000,5500,11000,13500,0,0,26000,0,1500,19000,2477,250,11500,0,500,8500,1500,250
Duckworth,Tammy,IL,D,3750,-250,0,2500,27599,13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duffy,Sean P,WI,R,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Duncan,Jeff,SC,R,51660,1000,1000,16500,5000,0,44750,0,0,10500,5000,2000,73350,0,1000,5500,0,2000
Duncan,John J Jr,TN,R,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Edwards,Donna,MD,D,3000,0,0,3000,8750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellison,Keith,MN,D,2750,0,0,500,7700,750,7663,0,0,0,17245,1466,NA,NA,NA,NA,NA,NA
Ellmers,Renee,NC,R,62250,1000,1000,10000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmer,Tom,MN,R,41400,500,500,0,0,0,10950,0,1000,300,0,27493,28500,0,2500,1500,0,27493
Engel,Eliot,NY,D,2000,0,3600,0,2000,0,11200,0,2700,0,1000,2000,9150,0,2000,0,2000,2000
Eshoo,Anna,CA,D,3000,0,0,1000,3210,11900,0,0,0,0,14500,7700,1000,0,0,0,1900,7700
Esty,Elizabeth,CT,D,1000,0,1150,1000,61280,4600,3700,0,1600,3700,27659,0,NA,NA,NA,NA,NA,NA
Farenthold,Blake,TX,R,109325,0,1000,13000,6600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farr,Sam,CA,D,250,0,0,0,17550,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fincher,Steve,TN,R,34700,1000,2000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fitzpatrick,Michael G,PA,R,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fleischmann,Chuck,TN,R,23400,2000,5000,4000,0,0,17200,3000,5000,4500,0,0,9000,0,1000,3500,0,0
Fleming,John,LA,R,188000,0,11100,7000,16400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flores,Bill,TX,R,213789,1000,7000,23500,2000,10400,223400,500,3500,17500,1000,0,188600,0,2500,22500,0,0
Forbes,Randy,VA,R,10500,0,5200,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortenberry,Jeff,NE,R,800,0,0,0,0,2000,500,0,0,0,6400,1000,2500,0,0,0,5300,1000
Foster,Bill,IL,D,15850,0,0,3100,29050,8950,19350,0,0,5400,28519,9610,7950,0,0,0,16500,9610
Foxx,Virginia,NC,R,25050,3000,3000,5000,0,0,19250,2000,4500,5000,0,0,23950,19250,65325,2500,0,0
Frankel,Lois,FL,D,5100,0,0,0,2000,0,1000,0,5,0,3910,1,2,0,0,0,2503,1
Franks,Trent,AZ,R,12700,0,5000,5100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frelinghuysen,Rodney,NJ,R,8050,2000,2000,3000,0,500,23000,2000,5000,5500,0,0,NA,NA,NA,NA,NA,NA
Fudge,Marcia,OH,D,14950,0,0,1250,1000,0,-600,0,0,1000,1000,0,0,0,0,0,1000,0
Gabbard,Tulsi,HI,D,2250,0,0,1000,2500,17150,6800,0,0,0,5000,939,4193,0,15,10,16,939
Gallego,Ruben,AZ,D,0,0,0,0,5641,1000,3000,0,0,1500,9960,11000,2503,0,0,1000,5210,11000
Garamendi,John,CA,D,0,0,0,0,16094,5100,1000,0,0,1000,5327,2500,0,0,0,0,3000,2500
Garrett,Scott,NJ,R,48600,0,0,8000,0,10625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibbs,Bob,OH,R,69800,14600,18100,20100,0,0,34000,2000,8000,2000,1000,1000,36250,14500,20500,6500,500,1000
Gibson,Chris,NY,R,30950,0,0,7000,13200,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gohmert,Louis B Jr,TX,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodlatte,Bob,VA,R,45250,0,1000,3250,0,0,39950,0,0,5450,0,0,NA,NA,NA,NA,NA,NA
Gosar,Paul,AZ,R,12500,2000,14000,1500,500,2000,6000,3000,23750,1000,250,3000,18600,5500,35125,0,0,3000
Gowdy,Trey,SC,R,20000,0,0,5500,0,0,28700,0,0,1000,0,0,NA,NA,NA,NA,NA,NA
Graham,Gwen,FL,D,2250,0,0,0,61120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granger,Kay,TX,R,83850,0,2000,0,0,0,72350,0,0,0,0,1000,70900,0,0,2500,0,1000
Graves,Garret,LA,R,122035,0,6000,8250,28000,0,169499,0,7250,35000,20550,2000,193801,2000,8500,64301,3700,2000
Graves,Sam,MO,R,21000,1000,3000,2000,0,6000,16500,1000,1000,3000,0,8500,39300,0,2000,7000,0,8500
Graves,Tom,GA,R,23200,0,9550,1000,0,0,33800,0,20700,3000,0,0,NA,NA,NA,NA,NA,NA
Grayson,Alan,FL,D,1450,0,0,0,8983,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green,Al,TX,D,11600,0,2500,0,0,0,24200,0,0,0,0,1000,4956,0,0,2700,0,1000
Green,Gene,TX,D,102350,1000,1000,23100,0,0,107700,0,0,41500,0,0,NA,NA,NA,NA,NA,NA
Griffith,Morgan,VA,R,56300,35400,42150,5000,0,0,38568,26100,32850,3500,0,250,36350,31300,33300,5500,0,250
Grijalva,Raul M,AZ,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grisham Lujan,Michelle,NM,D,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Grothman,Glenn,WI,R,8000,0,500,0,0,0,22150,0,0,0,0,1000,34950,0,0,0,0,1000
Guinta,Frank,NH,R,32050,0,250,1000,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guthrie,Brett,KY,R,64750,14600,18850,8750,0,0,57500,11700,12700,8000,0,0,48050,2500,8500,4500,0,0
Gutierrez,Luis V,IL,D,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Hahn,Janice,CA,D,4000,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hanabusa,Colleen,HI,D,0,0,0,0,0,0,3500,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Hanna,Richard,NY,R,7100,0,0,3600,0,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hardy,Cresent,NV,R,2500,0,5000,2500,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harper,Gregg,MS,R,136300,3000,3000,12500,0,0,60550,0,1000,8500,0,0,NA,NA,NA,NA,NA,NA
Harris,Andy,MD,R,38000,2500,6500,2250,0,0,20500,2000,5000,2000,250,0,12750,2000,4000,0,0,0
Hartzler,Vicky,MO,R,11350,8200,8200,1000,0,7600,9400,2000,2000,3000,0,3500,13800,1000,1000,2000,0,3500
Hastings,Alcee,FL,D,0,0,0,0,300,0,0,0,0,0,2000,0,0,0,0,0,0,0
Heck,Dennis,WA,D,3100,0,0,100,11250,5000,1000,0,0,0,8250,250,4000,0,0,0,7250,250
Heck,Joe,NV,R,37900,2600,18000,6000,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hensarling,Jeb,TX,R,95800,0,10400,15200,0,0,70000,0,0,8900,0,0,NA,NA,NA,NA,NA,NA
Hice,Jody,GA,R,4500,0,4350,0,0,5000,5000,0,3000,2000,2000,6900,7000,0,15967,0,0,6900
Higgins,Brian M,NY,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hill,French,AR,R,94600,0,0,7460,250,0,34950,0,0,7700,750,0,45900,0,0,2000,500,0
Himes,Jim,CT,D,6750,0,2750,6500,10700,2600,3000,0,2600,3000,5209,0,2001,0,2000,1000,7456,0
Hinojosa,Ruben,TX,D,14500,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holding,George,NC,R,12350,0,0,2500,0,2600,54082,1000,1000,5500,0,22800,72950,0,0,2000,0,22800
Honda,Mike,CA,D,3350,0,700,0,27117,3925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoyer,Steny H,MD,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson,Richard,NC,R,52250,0,4500,10500,0,0,90900,0,3500,15200,0,1000,85700,0,7000,5500,0,1000
Huelskamp,Tim,KS,R,73550,0,0,4250,0,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huffman,Jared,CA,D,9900,0,0,9500,22550,950,5000,120,120,5000,27849,1000,3500,0,0,2500,37033,1000
Huizenga,Bill,MI,R,15150,0,0,0,0,0,17750,0,1000,0,0,0,46175,0,0,0,0,0
Hultgren,Randy,IL,R,21250,1000,1000,10000,0,250,18000,1000,1000,11000,0,1000,NA,NA,NA,NA,NA,NA
Hunter,Duncan D,CA,R,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Hurd,Will,TX,R,115873,0,0,2600,0,250,337089,1000,3500,20900,0,3400,461594,8200,8450,51950,0,3400
Hurt,Robert,VA,R,17750,10400,12050,6000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,Steve,NY,D,31900,0,0,8000,11500,22700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Issa,Darrell,CA,R,82400,1800,12650,11350,0,4250,45000,1000,2000,16100,0,1000,NA,NA,NA,NA,NA,NA
Jackson Lee,Sheila,TX,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffries,Hakeem,NY,D,0,0,0,0,200,1000,1000,0,0,0,2000,25,0,0,0,0,2250,25
Jenkins,Evan,WV,R,50416,103700,205433,0,0,0,42600,28600,51200,3000,0,0,NA,NA,NA,NA,NA,NA
Jenkins,Lynn,KS,R,147950,5200,16600,36500,0,3600,88700,0,13300,11000,0,0,NA,NA,NA,NA,NA,NA
Johnson,Bill,OH,R,213266,78856,141519,35100,1000,3500,127950,25800,38800,40000,1000,2500,124050,53140,90870,25200,0,2500
Johnson,Eddie Bernice,TX,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,Hank,GA,D,500,0,0,0,2500,0,0,0,0,0,3500,0,0,0,0,0,500,0
Johnson,Sam,TX,R,46900,0,0,9600,0,0,37050,0,0,5700,0,0,NA,NA,NA,NA,NA,NA
Jolly,David,FL,R,30400,0,0,0,1250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jones,Walter B Jr,NC,R,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Jordan,Jim,OH,R,23400,3000,6000,4000,0,0,16000,0,2000,1000,0,0,16000,0,1000,0,0,0
Joyce,David P,OH,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaptur,Marcy,OH,D,10500,0,4000,3000,1000,8000,8500,0,2000,4000,1000,0,4500,0,7500,3500,1000,0
Katko,John,NY,R,14450,0,0,1000,0,0,64950,0,0,9000,250,0,122590,0,0,18552,0,0
Keating,Bill,MA,D,5850,0,0,2500,2000,250,8250,0,0,3000,4000,100,6250,0,0,2500,1850,100
Kelly,Mike,PA,R,89850,45200,60150,34950,0,0,76412,37100,40850,21412,0,1500,85100,27500,34550,24000,0,1500
