"Cycle","CID","RealCode","Date","Amount","Type"
2018,"N00031545","E1140",2018-09-06,1000,"24K"
2018,"N00042056","E1220",2018-10-10,3000,"24K"
2018,"N00033839","E1120",2018-08-22,1000,"24K"
2018,"N00030196","E1500",2018-08-09,2000,"24K"
2018,"N00041871","E1200",2018-09-25,2000,"24K"
2018,"N00033997","E1600",2018-09-04,1000,"24K"
2018,"N00026314","E1100",2018-09-21,3000,"24K"
2018,"N00027694","E1110",2018-07-30,1000,"24K"
2018,"N00036023","E1150",2018-09-13,2500,"24K"
2018,"N00007360","E1500",2018-08-10,5000,"24K"
2018,"N00004558","E1620",2018-08-13,1500,"24K"
2018,"N00028133","E1150",2018-10-09,500,"24K"
2018,"N00002424","E1160",2018-09-24,-3000,"24K"
2018,"N00040559","E1170",2018-08-09,2000,"24K"
2018,"N00037049","E1110",2018-07-06,2500,"24K"
2018,"N00012642","E1160",2018-11-30,-1000,"24K"
2018,"N00037049","E1110",2018-10-03,2500,"24K"
2018,"N00039533","E1620",2018-09-05,-1000,"24K"
2018,"N00028133","E4100",2018-10-11,1000,"24K"
2018,"N00042047","E1610",2018-09-25,1000,"24K"
2018,"N00033399","E1170",2018-09-24,2500,"24K"
2018,"N00032029","E1100",2018-09-05,1000,"24K"
2018,"N00003288","E1140",2018-12-28,3500,"24K"
2018,"N00033399","E1170",2018-07-24,2000,"24K"
2018,"N00031127","E1160",2018-07-25,2500,"24K"
2018,"N00038767","E1620",2018-07-25,1000,"24K"
2018,"N00036944","E2000",2018-06-26,500,"24K"
2018,"N00005736","E1140",2018-09-24,1000,"24K"
2018,"N00005736","E1160",2018-09-24,2500,"24K"
2018,"N00031559","E1140",2018-09-21,3000,"24K"
2018,"N00041104","E1610",2018-12-04,1000,"24K"
2018,"N00033508","E1620",2018-06-20,1000,"24K"
2018,"N00003473","E1610",2018-07-16,-1000,"24K"
2018,"N00042868","E1160",2018-07-25,2500,"24K"
2018,"N00031005","E1610",2018-09-11,4000,"24K"
2018,"N00029416","E5000",2018-08-13,1000,"24K"
2018,"N00031233","E1210",2018-10-23,5000,"24K"
2018,"N00009660","E1700",2018-07-26,1000,"24K"
2018,"N00035391","E1210",2018-09-12,5000,"24K"
2018,"N00031559","E4100",2018-10-10,1500,"24K"
2018,"N00042868","E1630",2018-08-03,1000,"24K"
2018,"N00029562","E1620",2018-06-26,2000,"24K"
