Toomey, Pat , Pennsylvania ,Republican, Senate
Torres, Norma , California ,Democrat, District 35
Trott, Dave , Michigan ,Republican, District 11
Tsongas, Niki , Massachusetts ,Democrat, District 3
Turner, Michael R , Ohio ,Republican, District 10
Udall, Tom , New Mexico ,Democrat, Senate
Upton, Fred , Michigan ,Republican, District 6
Valadao, David , California ,Republican, District 21
Van Hollen, Chris , Maryland ,Democrat, District 8
Vargas, Juan , California ,Democrat, District 51
Veasey, Marc , Texas ,Democrat, District 33
Vela, Filemon , Texas ,Democrat, District 34
Velazquez, Nydia , New York ,Democrat, District 7
Visclosky, Pete , Indiana ,Democrat, District 1
Vitter, David , Louisiana ,Republican, Senate
Wagner, Ann , Missouri ,Republican, District 2
Walberg, Tim , Michigan ,Republican, District 7
Walden, Greg , Oregon ,Republican, District 2
Walker, Mark , North Carolina ,Republican, District 6
Walorski, Jackie , Indiana ,Republican, District 2
Walters, Mimi , California ,Republican, District 45
Walz, Tim , Minnesota ,Democrat, District 1
Warner, Mark , Virginia ,Democrat, Senate
Warren, Elizabeth , Massachusetts ,Democrat, Senate
Waters, Maxine , California ,Democrat, District 43
Weber, Randy , Texas ,Republican, District 14
Webster, Daniel , Florida ,Republican, District 10
Welch, Peter , Vermont ,Democrat, District 1
Wenstrup, Brad , Ohio ,Republican, District 2
Westerman, Bruce , Arkansas ,Republican, District 4
Westmoreland, Lynn A , Georgia ,Republican, District 3
Whitehouse, Sheldon , Rhode Island ,Democrat, Senate
Whitfield, Ed , Kentucky, Republican, District 1
Wicker, Roger , Mississippi ,Republican, Senate
Williams, Roger , Texas ,Republican, District 25
Wilson, Frederica , Florida ,Democrat, District 24
Wilson, Joe , South Carolina ,Republican, District 2
Wittman, Rob , Virginia ,Republican, District 1
Womack, Steve , Arkansas ,Republican, District 3
Woodall, Rob , Georgia ,Republican, District 7
Wyden, Ron , Oregon ,Democrat, Senate
Yarmuth, John , Kentucky ,Democrat, District 3
Yoder, Kevin , Kansas ,Republican, District 3
Yoho, Ted , Florida ,Republican, District 3
Young, David , Iowa ,Republican, District 3
Young, Don , Alaska ,Republican, District 1
Young, Todd , Indiana ,Republican, District 9
Zeldin, Lee , New York ,Republican, District 1
Zinke, Ryan , Montana ,Republican, District 1
