LastName,FirstName,StateAbbreviation.x,Party.x,Amount.oil,Amount.coal,Amount.mining,Amount.gas,Amount.env,Amount.alt_en
Adams,Alma,NC,D,3,0,0,0,2263,0
Aderholt,Robert B,AL,R,16053,3600,5600,0,0,2500
Aguilar,Pete,CA,D,4983,0,0,646,8075,1528
Allen,Richard W,GA,R,9800,0,1500,2500,0,0
Allred,Colin,TX,D,53385,0,5,508,11947,3435
Amash,Justin,MI,R,19900,0,0,0,0,0
Amodei,Mark,NV,R,26000,1000,45700,6000,0,0
Armstrong,Kelly,ND,R,240501,22100,35150,18500,0,10500
Arrington,Jodey,TX,R,70750,0,0,1500,0,24200
Axne,Cindy,IA,D,5086,0,17,2723,20467,6483
Babin,Brian,TX,R,81357,0,5400,11400,0,0
Bacon,Donald John,NE,R,79640,0,2000,18402,0,25000
Baird,Jim,IN,R,0,0,1000,0,0,1000
Balderson,Troy,OH,R,127598,10200,12200,5500,0,2700
Banks,Jim,IN,R,15000,0,1000,0,0,0
Barr,Andy,KY,R,113547,74650,153625,20452,0,0
Barragan,Nanette,CA,D,6015,0,0,4015,19757,2500
Bass,Karen,CA,D,3500,0,1000,0,1100,1000
Beatty,Joyce,OH,D,1000,0,0,0,0,0
Bera,Ami,CA,D,10,0,0,10,13880,2625
Bergman,John,MI,R,37345,0,10000,0,350,0
Beutler,Jaime Herrera,WA,R,31350,2700,4950,3100,0,250
Beyer,Don,VA,D,15902,0,2500,8900,5380,11900
Biggs,Andy,AZ,R,17000,0,7500,3000,0,0
Bilirakis,Gus,FL,R,53600,0,0,7000,0,7600
Bishop,Dan,NC,R,0,0,0,0,0,0
Bishop,Rob,UT,R,121188,16750,31750,7250,5700,0
Bishop,Sanford,GA,D,11750,2500,8500,1000,0,1000
Blumenauer,Earl,OR,D,3532,0,0,3275,4838,16220
Bonamici,Suzanne,OR,D,3079,0,0,2564,2951,1500
Bost,Mike,IL,R,56340,32250,86825,7899,0,18000
Boyle,Brendan,PA,D,6000,0,0,6000,2010,0
Brady,Kevin,TX,R,377134,1000,1000,53450,0,19750
Brindisi,Anthony,NY,D,1830,0,4,7,31983,2519
Brooks,Mo,AL,R,2250,2500,16000,0,500,4000
Brooks,Susan,IN,R,21300,3000,9000,0,0,7500
Brown,Anthony,MD,D,9000,0,0,2000,3250,5000
Brownley,Julia,CA,D,1351,0,0,0,9201,505
Buchanan,Vernon,FL,R,31750,0,0,0,0,1000
Buck,Ken,CO,R,44700,0,2500,6500,0,1000
Bucshon,Larry,IN,R,16200,21900,23900,1000,0,250
Budd,Ted,NC,R,37700,0,2000,0,0,0
Burchett,Tim,TN,R,11050,250,250,0,0,0
Burgess,Michael,TX,R,35250,0,0,4000,0,5200
Bustos,Cheri,IL,D,7870,3,3,1020,5929,19258
Butterfield,G K,NC,D,11500,0,0,0,1763,2000
Byrne,Bradley,AL,R,19200,0,2000,1000,2700,0
Calvert,Ken,CA,R,33500,0,2000,0,0,6400
Carbajal,Salud,CA,D,2950,0,0,0,27701,6000
Cardenas,Tony,CA,D,24530,0,0,3000,1604,2000
Carson,Andre,IN,D,2250,0,0,0,250,0
Carter,Buddy,GA,R,68400,0,6000,6000,2500,2250
Carter,John,TX,R,62350,0,1000,5500,0,5400
Cartwright,Matt,PA,D,7502,0,0,0,19137,1000
Case,Ed,HI,D,0,0,0,0,750,250
Casten,Sean,IL,D,3421,0,3,1027,38561,31815
Castor,Kathy,FL,D,59,0,0,0,2253,0
Castro,Joaquin,TX,D,12890,0,0,0,4700,500
Chabot,Steve,OH,R,20700,9250,53425,0,0,0
Cheney,Liz,WY,R,93700,16000,24500,3000,0,0
Chu,Judy,CA,D,1000,0,0,0,2950,0
Cicilline,David,RI,D,500,0,0,0,2000,0
Cisneros,Gil,CA,D,4287,0,0,1002,10934,4532
Clark,Katherine,MA,D,8206,0,0,0,5913,1000
Clarke,Yvette,NY,D,1250,0,0,1000,2000,0
Clay,William L Jr,MO,D,0,2500,2500,0,1500,0
Cleaver,Emanuel,MO,D,0,0,0,0,2500,0
Cline,Ben,VA,R,9950,1000,1000,3200,0,0
Cloud,Michael,TX,R,23200,0,0,2000,0,0
Clyburn,James E,SC,D,20006,0,0,5500,4750,2500
Cohen,Steve,TN,D,3000,0,0,0,4500,0
Cole,Tom,OK,R,119250,0,1000,35400,0,7493
Coleman,Bonnie Watson,NJ,D,2,0,0,0,5504,0
Collins,Doug,GA,R,35000,0,500,2500,0,0
Comer,James,KY,R,11250,2000,3000,1000,0,11000
Conaway,Mike,TX,R,150500,0,0,1000,4750,1793
Connolly,Gerry,VA,D,2002,0,0,2000,1500,0
Cook,Paul,CA,R,21500,0,1450,14000,0,6400
Cooper,Jim,TN,D,6500,0,0,0,0,1250
Correa,Lou,CA,D,39500,0,0,4500,1500,100
Costa,Jim,CA,D,98505,3500,12000,15000,3000,1000
Courtney,Joe,CT,D,750,0,0,0,3100,0
Cox,TJ,CA,D,1212,0,0,7,8213,7322
Craig,Angie,MN,D,702,0,0,2,39376,5326
Crawford,Rick,AR,R,7250,0,1000,1000,0,0
Crenshaw,Dan,TX,R,134058,1000,7400,6900,155,2700
Crist,Charlie,FL,D,28505,0,0,0,16881,0
Crow,Jason,CO,D,11020,0,507,1852,66533,5032
Cuellar,Henry,TX,D,173919,1500,8000,17000,0,500
Cunningham,Joe,SC,D,23,0,0,0,914,154
Curtis,John,UT,R,30900,3700,6700,0,0,0
Davids,Sharice,KS,D,6970,0,1263,2757,20416,9614
Davidson,Warren,OH,R,10500,0,0,0,0,0
Davis,Danny K,IL,D,3000,0,0,0,0,0
Davis,Rodney,IL,R,73500,12600,16600,14500,0,31500
Davis,Susan,CA,D,0,0,0,0,1500,1000
Dean,Madeleine,PA,D,502,0,0,501,4787,0
DeFazio,Peter,OR,D,14500,0,0,2500,2375,40
DeGette,Diana,CO,D,6510,0,0,0,1500,0
DeLauro,Rosa,CT,D,500,0,825,0,2850,500
DelBene,Suzan,WA,D,14011,0,0,0,23051,300
Delgado,Antonio,NY,D,6052,0,0,1400,19611,6464
Demings,Val,FL,D,0,0,300,0,1500,0
Desaulnier,Mark,CA,D,7175,0,0,0,650,1500
Desjarlais,Scott,TN,R,12400,0,0,0,0,0
Deutch,Ted,FL,D,2800,0,0,0,1700,2000
Diaz-Balart,Mario,FL,R,26500,0,0,0,0,0
Dingell,Debbie,MI,D,8000,0,0,1000,5903,250
Doggett,Lloyd,TX,D,2706,0,0,0,4275,0
Doyle,Mike,PA,D,11500,0,500,8500,1500,250
Duncan,Jeff,SC,R,73350,0,1000,5500,0,2000
Dunn,Neal,FL,R,1000,0,0,0,0,0
Emmer,Tom,MN,R,28500,0,2500,1500,0,27493
Engel,Eliot,NY,D,9150,0,2000,0,2000,2000
Escobar,Veronica,TX,D,15383,0,0,26,3299,0
Eshoo,Anna,CA,D,1000,0,0,0,1900,7700
Espaillat,Adriano,NY,D,0,0,0,0,2000,2500
Estes,Ron,KS,R,131675,0,0,4000,0,41700
Evans,Dwight,PA,D,1100,0,0,0,5958,0
Ferguson,Drew,GA,R,17700,0,500,2500,0,0
Finkenauer,Abby,IA,D,1971,200,217,6,19871,17444
Fitzpatrick,Brian,PA,R,69408,0,0,12052,8000,750
Fleischmann,Chuck,TN,R,9000,0,1000,3500,0,0
Fletcher,Lizzie,TX,D,93042,0,505,16066,10351,9192
Flores,Bill,TX,R,188600,0,2500,22500,0,0
Fortenberry,Jeff,NE,R,2500,0,0,0,5300,1000
Foster,Bill,IL,D,7950,0,0,0,16500,9610
Foxx,Virginia,NC,R,23950,19250,65325,2500,0,0
Frankel,Lois,FL,D,2,0,0,0,2503,1
Fudge,Marcia,OH,D,0,0,0,0,1000,0
Fulcher,Russ,ID,R,25000,0,2250,0,0,1500
Gabbard,Tulsi,HI,D,4193,0,15,10,16,939
Gaetz,Matt,FL,R,6200,0,0,0,0,0
Gallagher,Mike,WI,R,53450,0,0,5000,0,0
Gallego,Ruben,AZ,D,2503,0,0,1000,5210,11000
Garamendi,John,CA,D,0,0,0,0,3000,2500
Garcia,Jesus,IL,D,0,0,0,0,3400,0
Garcia,Mike,CA,R,0,0,0,0,0,0
Garcia,Sylvia,TX,D,23508,0,0,3001,7834,350
Gianforte,Greg,MT,R,219640,28225,32225,3500,0,350
Gibbs,Bob,OH,R,36250,14500,20500,6500,500,1000
Gohmert,Louis B Jr,TX,R,45300,0,0,250,0,0
Golden,Jared,ME,D,6078,0,7,5425,18520,6312
Gomez,Jimmy,CA,D,3250,0,0,3250,18459,2550
Gonzalez,Anthony,OH,R,27550,22600,30850,1500,0,3500
Gonzalez,Vicente,TX,D,48762,0,0,12000,1000,0
Gooden,Lance,TX,R,66450,0,0,7700,0,0
Gosar,Paul,AZ,R,18600,5500,35125,0,0,3000
Gottheimer,Josh,NJ,D,44605,0,1250,5000,46298,6495
Granger,Kay,TX,R,70900,0,0,2500,0,1000
Graves,Garret,LA,R,193801,2000,8500,64301,3700,2000
Graves,Sam,MO,R,39300,0,2000,7000,0,8500
Green,Al,TX,D,4956,0,0,2700,0,1000
Green,Mark,TN,R,49400,0,0,0,25,0
Griffith,Morgan,VA,R,36350,31300,33300,5500,0,250
Grijalva,Raul M,AZ,D,238,0,0,0,23210,50
Grothman,Glenn,WI,R,34950,0,0,0,0,1000
Guest,Michael,MS,R,35150,0,0,2500,0,0
Guthrie,Brett,KY,R,48050,2500,8500,4500,0,0
Haaland,Debra,NM,D,6499,0,0,2702,10459,3520
Hagedorn,Jim,MN,R,17000,2700,3700,0,0,500
Harder,Josh,CA,D,4027,0,8,110,32016,10913
Harris,Andy,MD,R,12750,2000,4000,0,0,0
Hartzler,Vicky,MO,R,13800,1000,1000,2000,0,3500
Hastings,Alcee,FL,D,0,0,0,0,0,0
Hayes,Jahana,CT,D,271,0,0,252,2588,273
Heck,Dennis,WA,D,4000,0,0,0,7250,250
Hern,Kevin,OK,R,119761,6500,6500,7000,0,0
Hice,Jody,GA,R,7000,0,15967,0,0,6900
Higgins,Brian M,NY,D,13100,0,0,10100,0,1000
Higgins,Clay,LA,R,69150,0,0,18650,0,0
Hill,French,AR,R,45900,0,0,2000,500,0
Himes,Jim,CT,D,2001,0,2000,1000,7456,0
Holding,George,NC,R,72950,0,0,2000,0,22800
Hollingsworth,Trey,IN,R,29450,11000,11000,0,0,17000
Horn,Kendra,OK,D,18557,0,0,2425,275,1500
Horsford,Steven,NV,D,6044,0,11000,2502,11662,1312
Houlahan,Chrissy,PA,D,2023,0,0,15,18329,6012
Hoyer,Steny H,MD,D,43750,0,0,9500,4500,2000
Hudson,Richard,NC,R,85700,0,7000,5500,0,1000
Huffman,Jared,CA,D,3500,0,0,2500,37033,1000
Huizenga,Bill,MI,R,46175,0,0,0,0,0
Hurd,Will,TX,R,461594,8200,8450,51950,0,3400
Jackson Lee,Sheila,TX,D,0,0,0,0,0,0
Jacobs,Chris,NY,R,0,0,0,0,0,0
Jayapal,Pramila,WA,D,1011,900,910,0,17231,515
Jeffries,Hakeem,NY,D,0,0,0,0,2250,25
Johnson,Bill,OH,R,124050,53140,90870,25200,0,2500
Johnson,Dusty,SD,R,29850,0,1000,0,0,13400
Johnson,Eddie Bernice,TX,D,3756,0,0,0,2000,0
Johnson,Hank,GA,D,0,0,0,0,500,0
Johnson,Mike,LA,R,78350,0,7400,19400,0,0
Jordan,Jim,OH,R,16000,0,1000,0,0,0
Joyce,David P,OH,R,40600,22200,36875,7000,3000,6400
Joyce,John,PA,R,10500,0,0,5000,0,0
Kaptur,Marcy,OH,D,4500,0,7500,3500,1000,0
Katko,John,NY,R,122590,0,0,18552,0,0
Keating,Bill,MA,D,6250,0,0,2500,1850,100
Keller,Fred,PA,R,0,0,0,0,0,0
Kelly,Mike,PA,R,85100,27500,34550,24000,0,1500
Kelly,Robin,IL,D,3000,0,0,0,0,0
Kelly,Trent,MS,R,29087,350,350,1000,0,0
Kennedy,Joe III,MA,D,13875,0,15,1015,21485,6655
Khanna,Ro,CA,D,11311,0,0,0,0,5641
Kildee,Dan,MI,D,0,0,0,0,4000,0
Kilmer,Derek,WA,D,12375,0,0,0,25613,0
Kim,Andy,NJ,D,8142,0,0,99,35904,806
Kind,Ron,WI,D,7500,0,0,3000,1800,12375
King,Pete,NY,R,12900,0,0,2500,0,0
King,Steven A,IA,R,7750,1000,1000,0,0,27418
Kinzinger,Adam,IL,R,45500,0,12500,15500,0,12500
Kirkpatrick,Ann,AZ,D,3746,0,5,22,15743,3022
Krishnamoorthi,Raja,IL,D,21925,500,500,250,4408,12100
Kuster,Ann,NH,D,1260,0,0,250,30532,4600
Kustoff,David,TN,R,25000,0,0,0,0,1000
LaHood,Darin,IL,R,64600,3400,8400,7500,0,33600
LaMalfa,Doug,CA,R,21980,2700,2700,9630,0,2250
Lamb,Conor,PA,D,24797,4000,4500,8726,7425,4925
Lamborn,Doug,CO,R,22791,6000,15000,1000,0,0
Langevin,Jim,RI,D,900,0,0,0,2000,0
Larsen,Rick,WA,D,27751,0,0,9000,1500,15
Larson,John,CT,D,0,0,0,0,1000,0
Latta,Bob,OH,R,93825,2700,5700,6000,0,3500
Lawrence,Brenda,MI,D,2500,0,500,2500,1010,0
Lawson,Al,FL,D,0,0,0,0,1000,0
Lee,Barbara,CA,D,3463,0,0,0,20655,185
Lee,Susie,NV,D,11893,0,15465,9100,41576,4355
Lesko,Debbie,AZ,R,41450,0,18800,2500,0,0
Levin,Andy,MI,D,3,0,0,2,5870,4000
Levin,Mike,CA,D,9015,0,1,5404,45795,15042
Lieu,Ted,CA,D,400,0,0,150,11600,25
Lipinski,Daniel,IL,D,27000,0,0,2500,0,1000
Loebsack,David,IA,D,8262,0,0,0,2750,32301
Lofgren,Zoe,CA,D,5000,0,0,0,9000,21600
Long,Billy,MO,R,55000,2000,4000,8000,0,3500
Loudermilk,Barry,GA,R,24000,0,500,1000,0,0
Lowenthal,Alan,CA,D,7000,0,2500,0,5100,0
Lowey,Nita M,NY,D,500,0,0,0,6903,0
Lucas,Frank D,OK,R,64600,0,0,10000,0,5000
Luetkemeyer,Blaine,MO,R,11000,0,1750,2000,0,6000
Lujan,Ben Ray,NM,D,22651,1000,6000,7000,5967,500
Luria,Elaine,VA,D,5656,0,0,5457,15541,9195
Lynch,Stephen,MA,D,1000,0,2500,0,0,2500
Malinowski,Tom,NJ,D,27303,0,3,22,44966,7599
Maloney,Carolyn,NY,D,11400,0,2000,0,3550,1500
Maloney,Sean Patrick,NY,D,1055,0,0,0,7470,50
Marchant,Kenny,TX,R,71650,1000,2000,16000,0,0
Marshall,Roger,KS,R,25082,0,0,1000,0,48693
Massie,Thomas,KY,R,10200,1000,2000,0,0,0
Mast,Brian,FL,R,102569,5101,5101,12299,0,160
Matsui,Doris,CA,D,17000,0,1000,3000,4537,5000
McAdams,Ben,UT,D,4694,50,3350,0,15690,6766
McBath,Lucy,GA,D,1492,0,10,35,11385,162
McCarthy,Kevin,CA,R,484650,68600,184500,69300,5250,54150
McCaul,Michael,TX,R,126700,0,0,12200,0,1250
McClintock,Tom,CA,R,14750,0,5500,2000,0,1000
McCollum,Betty,MN,D,1,0,0,0,6250,261
McEachin,Donald,VA,D,4550,0,0,2500,19855,9750
McGovern,James P,MA,D,3505,0,0,0,2433,782
McHenry,Patrick,NC,R,79000,0,0,10000,0,20200
McKinley,David,WV,R,85175,23000,30500,15000,0,0
McNerney,Jerry,CA,D,6900,0,0,3500,9950,12700
Meeks,Gregory,NY,D,2500,0,0,0,0,0
Meng,Grace,NY,D,5,0,0,0,1001,1200
Meuser,Dan,PA,R,10300,8100,9100,2500,0,500
Mfume,Kweisi,MD,D,0,0,0,0,0,0
Miller,Carol,WV,R,16700,44950,115725,3500,0,0
Mitchell,Paul,MI,R,6000,0,0,1000,0,10000
Moolenaar,John,MI,R,12750,0,0,1000,0,0
Mooney,Alex,WV,R,25850,15800,17800,4500,0,250
Moore,Gwen,WI,D,0,0,0,0,2000,0
Morelle,Joseph D,NY,D,7503,0,0,7002,3250,2500
Moulton,Seth,MA,D,4100,0,0,4000,1300,0
Mucarsel-Powell,Debbie,FL,D,10053,0,3,2700,16814,657
Mullin,Markwayne,OK,R,183350,2700,4700,36000,0,1500
Murphy,Greg,NC,R,0,0,0,0,0,0
Murphy,Stephanie,FL,D,700,0,0,250,18491,1255
Nadler,Jerrold,NY,D,5400,0,0,0,1510,0
Napolitano,Grace,CA,D,3500,0,0,3500,3000,2500
Neal,Richard E,MA,D,39900,0,0,13500,1500,7500
Neguse,Joseph,CO,D,555,0,0,2,11374,1795
Newhouse,Dan,WA,R,20000,0,1000,1500,0,0
Norcross,Don,NJ,D,26210,0,0,7500,500,0
Norman,Ralph,SC,R,27150,0,250,0,0,1000
Norton,Eleanor Holmes,DC,D,0,0,0,0,0,0
Nunes,Devin,CA,R,124552,2700,5300,5250,0,1500
O'Halleran,Tom,AZ,D,650,5000,6500,600,9550,270
Ocasio-Cortez,Alexandria,NY,D,859,0,0,39,7436,282
Olson,Pete,TX,R,206328,0,6000,44500,0,0
Omar,Ilhan,MN,D,6466,0,0,2,4890,2670
Palazzo,Steven,MS,R,29450,0,1000,3000,0,0
Pallone,Frank Jr,NJ,D,30950,0,0,17450,2000,22500
Palmer,Gary,AL,R,17500,6000,6000,0,0,0
Panetta,Jimmy,CA,D,16500,0,0,14000,7400,0
