LastName,FirstName,StateAbbreviation.x,Party.x,Amount.oil,Amount.coal,Amount.mining,Amount.gas,Amount.env,Amount.alt_en
Adams,Alma,NC,D,0,0,0,0,8508,0
Aderholt,Robert B,AL,R,0,0,0,0,0,0
Aguilar,Pete,CA,D,1103,0,0,1100,30846,1528
Allen,Richard W,GA,R,0,0,0,0,0,0
Amash,Justin,MI,R,22650,0,0,0,0,0
Amodei,Mark,NV,R,10000,0,38450,2000,0,0
Arrington,Jodey,TX,R,84925,0,500,4000,1000,24200
Babin,Brian,TX,R,53650,0,4700,7700,1000,0
Bacon,Donald John,NE,R,0,0,0,0,0,0
Balderson,Troy,OH,R,0,0,0,0,0,2700
Banks,Jim,IN,R,28035,0,2000,500,57650,0
Barletta,Lou,PA,R,34550,4200,4950,9000,0,0
Barr,Andy,KY,R,38500,87200,98050,3000,0,0
Barragan,Nanette,CA,D,336,0,2,142,40486,2500
Barton,Joe,TX,R,234282,4500,6500,18450,0,1000
Bass,Karen,CA,D,1000,0,5000,0,8700,1000
Beatty,Joyce,OH,D,5550,0,0,1500,0,0
Bera,Ami,CA,D,3095,0,0,2745,44633,2625
Bergman,John,MI,R,33600,0,4000,0,0,0
Beutler,Jaime Herrera,WA,R,0,0,0,0,0,0
Beyer,Don,VA,D,22850,0,0,11600,5218,11900
Biggs,Andy,AZ,R,8000,0,5000,1000,0,0
Bilirakis,Gus,FL,R,23700,0,0,0,0,7600
Bishop,Mike,MI,R,20400,0,1000,0,0,0
Bishop,Rob,UT,R,151516,8000,28750,25750,14750,0
Bishop,Sanford,GA,D,14000,3000,7000,0,0,1000
Black,Diane,TN,R,43250,0,0,3000,1000,2500
Blackburn,Marsha,TN,R,85900,500,500,13500,0,0
Blum,Rod,IA,R,21900,0,0,900,0,18500
Blumenauer,Earl,OR,D,3900,0,0,3650,10650,16220
Bonamici,Suzanne,OR,D,8150,0,0,2750,9358,1500
Bordallo,Madeleine Z,GU,D,0,0,0,0,0,0
Bost,Mike,IL,R,30250,27050,33400,2500,0,18000
Boyle,Brendan,PA,D,3750,0,0,3000,6899,0
Brady,Kevin,TX,R,415650,0,0,82500,0,19750
Brady,Robert A,PA,D,0,0,0,0,0,0
Brat,Dave,VA,R,7000,0,0,2000,0,2000
Brooks,Mo,AL,R,0,0,0,0,0,4000
Brooks,Susan,IN,R,35200,1750,2750,1000,2000,7500
Brown,Anthony,MD,D,4500,0,0,1000,3275,5000
Brownley,Julia,CA,D,1143,90,90,50,25623,505
Buchanan,Vernon,FL,R,5500,0,0,2000,500,1000
Buck,Ken,CO,R,64950,2300,6300,5500,0,1000
Bucshon,Larry,IN,R,17000,19000,22500,0,0,250
Budd,Ted,NC,R,0,0,0,0,0,0
Burgess,Michael,TX,R,43100,0,0,0,0,5200
Bustos,Cheri,IL,D,12140,0,0,4000,16006,19258
Butterfield,G K,NC,D,0,0,0,0,0,0
Byrne,Bradley,AL,R,33450,10400,10900,4000,0,0
Calvert,Ken,CA,R,62500,9500,20000,4000,0,6400
Capuano,Michael E,MA,D,0,0,0,0,0,0
Carbajal,Salud,CA,D,5675,0,250,0,40137,6000
Cardenas,Tony,CA,D,24800,0,0,7300,6200,2000
Carson,Andre,IN,D,1250,0,0,0,0,0
Carter,Buddy,GA,R,13500,0,0,1000,0,2250
Carter,John,TX,R,16700,0,0,0,0,5400
Cartwright,Matt,PA,D,2500,0,0,1000,13671,1000
Castor,Kathy,FL,D,0,0,0,0,3100,0
Castro,Joaquin,TX,D,25600,0,0,2500,2000,500
Chabot,Steve,OH,R,2100,0,0,1000,750,0
Cheney,Liz,WY,R,124775,9000,12000,2500,0,0
Chu,Judy,CA,D,0,0,0,0,3200,0
Cicilline,David,RI,D,0,0,0,0,2000,0
Clark,Katherine,MA,D,7503,0,0,1000,9575,1000
Clarke,Yvette,NY,D,2000,0,0,0,2000,0
Clay,William L Jr,MO,D,0,0,0,0,0,0
Cleaver,Emanuel,MO,D,1000,0,0,0,2000,0
Cloud,Michael,TX,R,0,0,0,0,0,0
Clyburn,James E,SC,D,0,0,0,0,0,0
Coffman,Mike,CO,R,193244,15900,36250,4450,500,4000
Cohen,Steve,TN,D,0,0,0,0,500,0
Cole,Tom,OK,R,125750,17200,19200,13700,0,7493
Coleman,Bonnie Watson,NJ,D,0,0,0,0,0,0
Collins,Chris,NY,R,63950,0,0,22000,0,7500
Collins,Doug,GA,R,30250,0,0,1600,0,0
Comer,James,KY,R,13350,21251,23251,0,0,11000
Comstock,Barbara,VA,R,75975,4450,9450,19000,0,0
Conaway,Mike,TX,R,146547,3500,3500,250,0,1793
Connolly,Gerry,VA,D,3800,0,0,3750,4665,0
Cook,Paul,CA,R,18000,0,2750,13500,0,6400
Cooper,Jim,TN,D,3500,0,0,1000,0,1250
Correa,Lou,CA,D,19500,0,0,0,250,100
Costa,Jim,CA,D,95525,3500,6500,21000,2000,1000
Costello,Ryan,PA,R,36250,0,1500,9500,5400,0
Courtney,Joe,CT,D,3000,0,0,2000,5550,0
Cramer,Kevin,ND,R,216200,26000,30000,23500,0,0
Crawford,Rick,AR,R,6250,0,0,3000,0,0
Crist,Charlie,FL,D,13500,0,0,0,24201,0
Crowley,Joseph,NY,D,18000,0,500,6000,3500,500
Cuellar,Henry,TX,D,162952,1000,4800,22500,0,500
Culberson,John,TX,R,133625,0,0,22825,0,250
Cummings,Elijah E,MD,D,0,0,0,0,0,0
