"","LastName","FirstName","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","Party","State","District","Vote_count"
"1","Roby","Martha","-","-","-","-","-",NA,"R","AL","AL-02",5
"2","Rogers","Mike D.","-","-","-","-","-","-","R","AL","AL-03",6
"3","Aderholt","Robert B.","-","-","-","-","-","-","R","AL","AL-04",6
"4","Brooks","Mo","-","-","-","-","-","-","R","AL","AL-05",6
"5","Bachus","Spencer","-",NA,NA,NA,NA,NA,"R","AL","AL-06",1
"6","Sewell","Terri","+","+","+","+","+","+","D","AL","AL-07",6
"7","Young","Don","-","-","-","-","-","-","R","AK","AK-AL",6
"8","Kirkpatrick","Ann","+","+",NA,NA,NA,"+","D","AZ","AZ-01,AZ-02",3
"9","Barber","Ron","+",NA,NA,NA,NA,NA,"D","AZ","AZ-02",1
"10","Grijalva","Raul","+","+","+","+","+","+","D","AZ","AZ-03",6
"11","Gosar","Paul","-","-","-","-","-","?","R","AZ","AZ-04",5
"12","Salmon","Matt","-","-",NA,NA,NA,NA,"R","AZ","AZ-05",2
"13","Schweikert","David","-","-","-","-","-","-","R","AZ","AZ-06",6
"14","Pastor","Ed","+",NA,NA,NA,NA,NA,"D","AZ","AZ-07",1
"15","Franks","Trent","-","-","-",NA,NA,NA,"R","AZ","AZ-08",3
"16","Sinema","Kyrsten","+","+","+","?",NA,NA,"I","AZ","AZ-09",3
"17","Crawford","Rick","-","-","-","-","-","-","R","AR","AR-01",6
"18","Griffin","Tim","-",NA,NA,NA,NA,NA,"R","AR","AR-02",1
"19","Womack","Steve","-","-","-","-","-","-","R","AR","AR-03",6
"20","Cotton","Tom","-",NA,NA,NA,NA,NA,"R","AR","AR-04",1
"21","LaMalfa","Doug","-","-","-","-","-","-","R","CA","CA-01",6
"22","Huffman","Jared","+","+","+","+","+","+","D","CA","CA-02",6
"23","Garamendi","John","+","+","+","+","+","+","D","CA","CA-03",6
"24","McClintock","Tom","-","-","-","-","-","-","R","CA","CA-04",6
"25","Thompson","Mike","+","+","+","+","+","+","D","CA","CA-05",6
"26","Matsui","Doris O.","+","+","+","+","+","+","D","CA","CA-06",6
"27","Bera","Ami","+","+","+","+","+","+","D","CA","CA-07",6
"28","Cook","Paul","-","-","-","-","-",NA,"R","CA","CA-08",5
"29","McNerney","Jerry","+","+","+","+","+","+","D","CA","CA-09",6
"30","Denham","Jeff","-","-","-","-",NA,NA,"R","CA","CA-10",4
"31","Miller","George","+",NA,NA,NA,NA,NA,"D","CA","CA-11",1
"32","Pelosi","Nancy","+","+","+","+","n/a","n/a","D","CA","CA-12",4
"33","Lee","Barbara J.","+","+","+","+","+","+","D","CA","CA-13",6
"34","Speier","Jackie","+","+","+","n/a","+","+","D","CA","CA-14",5
"35","Swalwell","Eric","+","+","+","+","?","+","D","CA","CA-15",5
"36","Costa","Jim","-","+","?","+","-","+","D","CA","CA-16",5
"37","Honda","Mike","+","+",NA,NA,NA,NA,"D","CA","CA-17",2
"38","Eshoo","Anna G.","+","?","+","+","+","+","D","CA","CA-18",5
"39","Lofgren","Zoe","+","+","+","+","+","+","D","CA","CA-19",6
"40","Farr","Sam","+","+",NA,NA,NA,NA,"D","CA","CA-20",2
"41","Valadao","David G.","-","-","-","-",NA,"-","R","CA","CA-21",5
"42","Nunes","Devin G.","-","-","-","-","-","-","R","CA","CA-22",6
"43","McCarthy","Kevin","-","-","-","-","-","-","R","CA","CA-23",6
"44","Capps","Lois","+","+",NA,NA,NA,NA,"D","CA","CA-24",2
"45","McKeon","Buck P.","-",NA,NA,NA,NA,NA,"R","CA","CA-25",1
"46","Brownley","Julia","+","+","+","+","+","+","D","CA","CA-26",6
"47","Chu","Judy M.","+","+","+","+","+","+","D","CA","CA-27",6
"48","Schiff","Adam B.","+","+","+","+","+","+","D","CA","CA-28",6
"49","Cárdenas","Tony","+","+","+","?","+","+","D","CA","CA-29",5
"50","Sherman","Brad J.","+","+","+","+","+","+","D","CA","CA-30",6
"51","Miller","Gary G.","-",NA,NA,NA,NA,NA,"R","CA","CA-31",1
"52","Napolitano","Grace","+","+","+","+","+","+","D","CA","CA-32",6
"53","Waxman","Henry A.","+",NA,NA,NA,NA,NA,"D","CA","CA-33",1
"54","Becerra","Xavier","+","+",NA,NA,NA,NA,"D","CA","CA-34",2
"55","Negrete McLeod","Gloria","+",NA,NA,NA,NA,NA,"D","CA","CA-35",1
"56","Ruiz","Raul","+","+","+","+","+","+","D","CA","CA-36",6
"57","Bass","Karen","+","+","+","?","+","+","D","CA","CA-37",5
"58","Sanchez","Linda","+","+","+","+","+","+","D","CA","CA-38",6
"59","Royce","Ed","-","-","-","-",NA,NA,"R","CA","CA-39",4
