"","LastName","FirstName","Party","State","Member ID","Alias"
"1","Abdnor","James","Republican","South Dakota","A000009",NA
"2","Abercrombie","Neil","Democratic","Hawaii","A000014",NA
"3","Abourezk","James","Democratic","South Dakota","A000017",NA
"4","Abraham","Ralph Lee","Republican","Louisiana","A000374",NA
"5","Abraham","Spencer","Republican","Michigan","A000355",NA
"6","Abzug","Bella S.","Democratic","New York","A000018",NA
"7","Aceved","Vila","Democratic","Puerto Rico","	A000359","Anibal"
"8","Ackerman","Gary L.","Democratic","New York","A000022",NA
"9","Adams","Alma S.","Democratic","North Carolina","A000370",NA
"10","Adams","Brock","Democratic","Washington","A000031",NA
"11","Adams","Sandy","Republican","Florida","A000366",NA
"12","Addabbo","Joseph P.","Democratic","New York","A000052",NA
"13","Aderholt","Robert B.","Republican","Alabama","A000055",NA
"14","Adler","John H.","Democratic","New Jersey","A000364",NA
"15","Aguilar","Pete","Democratic","California","A000371",NA
"16","Aiken","George","Republican","Vermont","A000062",NA
"17","Akaka","Daniel K.","Democratic","Hawaii","A000069",NA
"18","Akin","W. Todd","Republican","Missouri","A000358",NA
"19","Albert","Carl","Democratic","Oklahoma","A000073",NA
"20","Albosta","Donald J.","Democratic","Michigan","A000076",NA
"21","Alexander","Bill","Democratic","Arkansas","A000103",NA
"22","Alexander","Lamar","Republican","Tennessee","A000360",NA
"23","Alexander","Rodney","Republican","Louisiana","A000361",NA
"24","Alford","Mark","Republican","Missouri","A000379",NA
"25","Allard","Wayne","Republican","Colorado","A000109",NA
"26","Allen","Clifford R.","Democratic","Tennessee","A000118",NA
"27","Allen","George","Republican","Virginia","A000121",NA
"28","Allen","James B.","Democratic","Alabama","A000127",NA
"29","Allen","Maryon","Democratic","Alabama","A000139",NA
"30","Allen","Rick W.","Republican","Georgia","A000372",NA
"31","Allen","Thomas H.","Democratic","Maine","A000357",NA
"32","Allred","Colin Z.","Democratic","Texas","A000376",NA
"33","Altmire","Jason","Democratic","Pennsylvania","A000362",NA
"34","Amash","Justin","Libertarian","Michigan","A000367",NA
"35","Ambro","Jerome A.","Democratic","New York","A000170",NA
"36","Ammerman","Joseph S.","Democratic","Pennsylvania","A000177",NA
"37","Amo","Gabe","Democratic","Rhode Island","A000380",NA
"38","Amodei","Mark E.","Republican","Nevada","A000369",NA
"39","Anderson","Glenn M.","Democratic","California","A000189",NA
"40","Anderson","John B.","Republican","Illinois","A000195",NA
"41","Anderson","Wendell R.","Democratic","Minnesota","A000202",NA
"42","Andrews","Ike","Democratic","North Carolina","A000207",NA
"43","Andrews","Mark","Republican","North Dakota","A000208",NA
"44","Andrews","Michael","Democratic","Texas","A000209",NA
"45","Andrews","Robert E.","Democratic","New Jersey","A000210",NA
"46","Andrews","Thomas H.","Democratic","Maine","A000211",NA
"47","Annunzio","Frank","Democratic","Illinois","A000212",NA
"48","Anthony","Beryl","Democratic","Arkansas","	A000213","Jr."
"49","Applegate","Douglas","Democratic","Ohio","A000214",NA
"50","Archer","Bill","Republican","Texas","A000215",NA
"51","Arcuri","Michael A.","Democratic","New York","A000363",NA
"52","Arends","Leslie C.","Republican","Illinois","A000216",NA
"53","Armey","Richard K.","Republican","Texas","A000217",NA
"54","Armstrong","Kelly","Republican","North Dakota","A000377",NA
"55","Armstrong","William L.","Republican","Colorado","A000219",NA
"56","Arrington","Jodey C.","Republican","Texas","A000375",NA
"57","Ashbrook","Jean","Republican","Ohio","A000220",NA
"58","Ashbrook","John M.","Republican","Ohio","A000221",NA
"59","Ashcroft","John","Republican","Missouri","A000356",NA
"60","Ashford","Brad","Democratic","Nebraska","A000373",NA
"61","Ashley","Thomas L.","Democratic","Ohio","A000222",NA
"62","Aspin","Les","Democratic","Wisconsin","A000224",NA
"63","Atkins","Chester G.","Democratic","Massachusetts","A000226",NA
"64","Atkinson","Eugene V.","Democratic","Pennsylvania","A000329",NA
"65","Auchincloss","Jake","Democratic","Massachusetts","A000148",NA
"66","AuCoin","Les","Democratic","Oregon","A000337",NA
"67","Austria","Steve","Republican","Ohio","A000365",NA
"68","Axne","Cynthia","Democratic","Iowa","A000378",NA
"69","Ayotte","Kelly","Republican","New Hampshire","A000368",NA
"70","Babin","Brian","Republican","Texas","B001291",NA
"71","Baca","Joe","Democratic","California","B001234",NA
"72","Bacchus","Jim","Democratic","Florida","B000008",NA
"73","Bachmann","Michele","Republican","Minnesota","B001256",NA
