"Representative","State","Amount"
"Yoder Kevin (R-KS)","Kansas","$44800"
"Shimkus John (R-IL)","Illinois","$37700"
"Reed Tom (R-NY)","New York","$35500"
"LaHood Darin (R-IL)","Illinois","$31600"
"Ryan Paul (R-WI)","Wisconsin","$26725"
"Noem Kristi (R-SD)","South Dakota","$25800"
"Marshall Roger (R-KS)","Kansas","$25000"
"Peterson Collin (D-MN)","Minnesota","$23500"
"Young David (R-IA)","Iowa","$22750"
"Holding George (R-NC)","North Carolina","$22700"
"Tom Kip (R-IN)","Indiana","$21850"
"Kinzinger Adam (R-IL)","Illinois","$21200"
"McCarthy Kevin (R-CA)","California","$20800"
"Loebsack David (D-IA)","Iowa","$20000"
"Gottheimer Josh (D-NJ)","New Jersey","$19404"
"King Steven A (R-IA)","Iowa","$19050"
"McNerney Jerry (D-CA)","California","$18750"
"Bustos Cheri (D-IL)","Illinois","$17205"
"Blumenauer Earl (D-OR)","Oregon","$17200"
"Reichert Dave (R-WA)","Washington","$16500"
"Smith Adrian (R-NE)","Nebraska","$16500"
"Cramer Kevin (R-ND)","North Dakota","$15000"
"Davis Rodney (R-IL)","Illinois","$15000"
"Brady Kevin (R-TX)","Texas","$14700"
"Blum Rod (R-IA)","Iowa","$14050"
"Kuster Ann (D-NH)","New Hampshire","$12965"
"Dittmar Jane (D-VA)","Virginia","$12708"
"Johnson Bill (R-OH)","Ohio","$12500"
"Arrington Jodey (R-TX)","Texas","$12050"
"Pallone Frank Jr (D-NJ)","New Jersey","$12000"
"Dold Bob (R-IL)","Illinois","$11750"
"Gallego Ruben (D-AZ)","Arizona","$11231"
"Walorski Jackie (R-IN)","Indiana","$11000"
"Tacherra Johnny (R-CA)","California","$10800"
"Peters Scott (D-CA)","California","$10050"
"Marino Tom (R-PA)","Pennsylvania","$10000"
"Thompson Mike (D-CA)","California","$9885"
"Welch Peter (D-VT)","Vermont","$8525"
"Beyer Don (D-VA)","Virginia","$8400"
"Schultz Debbie Wasserman (D-FL)","Florida","$8400"
"Gabbard Tulsi (D-HI)","Hawaii","$8195"
"Carroll Morgan (D-CO)","Colorado","$8185"
"Ashford Brad (D-NE)","Nebraska","$8000"
"Emmer Tom (R-MN)","Minnesota","$8000"
"Thornberry Mac (R-TX)","Texas","$8000"
"Calvert Ken (R-CA)","California","$7900"
"Meehan Patrick (R-PA)","Pennsylvania","$7870"
"Olson Pete (R-TX)","Texas","$7700"
"Tonko Paul (D-NY)","New York","$7390"
"Calone David L (D-NY)","New York","$7350"
"Pelosi Nancy (D-CA)","California","$7233"
"Graves Sam (R-MO)","Missouri","$7000"
"Pascrell Bill Jr (D-NJ)","New Jersey","$7000"
"Smith Jason (R-MO)","Missouri","$7000"
"Ruiz Raul (D-CA)","California","$6900"
"Jenkins Lynn (R-KS)","Kansas","$6750"
"Krishnamoorthi Raja (D-IL)","Illinois","$6750"
"Brown Anthony (D-MD)","Maryland","$6650"
"Garamendi John (D-CA)","California","$6400"
"Lofgren Zoe (D-CA)","California","$6400"
"Bennett LuAnn (D-VA)","Virginia","$6204"
"Bacon Donald John (R-NE)","Nebraska","$6200"
"Johnson Lon (D-MI)","Michigan","$6200"
"Davis Danny K (D-IL)","Illinois","$6000"
"Lujan Ben Ray (D-NM)","New Mexico","$6000"
"Rokita Todd (R-IN)","Indiana","$6000"
"Titus Dina (D-NV)","Nevada","$6000"
"Upton Fred (R-MI)","Michigan","$6000"
"Barve Kumar P (D-MD)","Maryland","$5900"
"Swalwell Eric (D-CA)","California","$5900"
"Driskell Gretchen (D-MI)","Michigan","$5715"
"Stone Jeff (R-CA)","California","$5650"
"Correa Lou (D-CA)","California","$5500"
