"Representative","State","Amount"
"Ryan Paul (R-WI)","Wisconsin","$761678"
"Young Todd (R-IN)","Indiana","$443246"
"Brady Kevin (R-TX)","Texas","$416650"
"Boustany Charles Jr (R-LA)","Louisiana","$413087"
"McCarthy Kevin (R-CA)","California","$355050"
"Heck Joe (R-NV)","Nevada","$339281"
"Hurd Will (R-TX)","Texas","$337089"
"Scalise Steve (R-LA)","Louisiana","$285300"
"Pearce Steve (R-NM)","New Mexico","$271906"
"Barton Joe (R-TX)","Texas","$234282"
"Upton Fred (R-MI)","Michigan","$229000"
"Mullin Markwayne (R-OK)","Oklahoma","$227850"
"Flores Bill (R-TX)","Texas","$223400"
"Olson Pete (R-TX)","Texas","$221200"
"Cramer Kevin (R-ND)","North Dakota","$216200"
"Shuster Bill (R-PA)","Pennsylvania","$198512"
"Pompeo Mike (R-KS)","Kansas","$194325"
"Coffman Mike (R-CO)","Colorado","$193244"
"Denham Jeff (R-CA)","California","$189499"
"Fleming John (R-LA)","Louisiana","$183730"
"Zinke Ryan (R-MT)","Montana","$180891"
"Shimkus John (R-IL)","Illinois","$180582"
"Boehner John (R-OH)","Ohio","$171900"
"Graves Garret (R-LA)","Louisiana","$169499"
"Cuellar Henry (D-TX)","Texas","$162952"
"Walden Greg (R-OR)","Oregon","$151900"
"Bishop Rob (R-UT)","Utah","$151516"
"Conaway Mike (R-TX)","Texas","$146547"
"Sessions Pete (R-TX)","Texas","$136850"
"Tipton Scott (R-CO)","Colorado","$136400"
"Williams Roger (R-TX)","Texas","$136250"
"Culberson John (R-TX)","Texas","$133625"
"Johnson Bill (R-OH)","Ohio","$127950"
"Cole Tom (R-OK)","Oklahoma","$125750"
"Reed Tom (R-NY)","New York","$121050"
"Rodgers Cathy McMorris (R-WA)","Washington","$119600"
"McCaul Michael (R-TX)","Texas","$111150"
"Smith Lamar (R-TX)","Texas","$108400"
"Green Gene (D-TX)","Texas","$107700"
"Costa Jim (D-CA)","California","$95525"
"Stewart Chris (R-UT)","Utah","$95200"
"Stutzman Marlin (R-IN)","Indiana","$93830"
