"Recipient","From Lobbyists","From Lobbyists + Family"
"Charles E Schumer (D-NY)","$733367","$797767"
"Kevin McCarthy (R-Calif)","$575943","$579943"
"Maggie Hassan (D-NH)","$491015","$508665"
"Raphael Warnock (D-Ga)","$487162","$516111"
"Patty Murray (D-Wash)","$473639","$488239"
"Tim Ryan (D-Ohio)","$467398","$497383"
"Catherine Cortez Masto (D-Nev)","$436122","$458710"
"John Thune (R-SD)","$351478","$355978"
"Tim Scott (R-SC)","$331704","$353354"
"Ron Wyden (D-Ore)","$327353","$341953"
"Cathy McMorris Rodgers (R-Wash)","$308021","$312021"
"Katie Britt (R-Ala)","$305893","$321233"
"Robert Menendez (D-NJ)","$291810","$301510"
"Liz Cheney (R-Wyo)","$287840","$301140"
"Mark Kelly (D-Ariz)","$279323","$296284"
"Todd Young (R-Ind)","$262060","$266960"
"Alex Padilla (D-Calif)","$251920","$267120"
"Chris Van Hollen (D-Md)","$248407","$252907"
"Richard Blumenthal (D-Conn)","$247408","$253908"
"Hakeem Jeffries (D-NY)","$230105","$237205"
"Mark Warner (D-Va)","$227519","$233329"
"Richard E Neal (D-Mass)","$226657","$227657"
"Ted Budd (R-NC)","$224920","$231410"
"Marco Rubio (R-Fla)","$223440","$226840"
"Darin LaHood (R-Ill)","$223299","$227799"
"Lisa Murkowski (R-Alaska)","$221735","$229685"
"Markwayne Mullin (R-Okla)","$221550","$233700"
"Mike Crapo (R-Idaho)","$219108","$221108"
"John Boozman (R-Ark)","$212915","$222715"
"Herschel Walker (R-Ga)","$212662","$224727"
"Ken Calvert (R-Calif)","$212563","$218963"
"Mike Lee (R-Utah)","$208076","$213976"
"Chuck Grassley (R-Iowa)","$203242","$212542"
"Frank Pallone Jr. (D-NJ)","$197400","$197400"
"Vernon Buchanan (R-Fla)","$197100","$207300"
"Kyrsten Sinema (D-Ariz)","$195200","$207800"
"J D Vance (R-Ohio)","$192409","$200209"
"Steve Scalise (R-La)","$189765","$189765"
"Adam Laxalt (R-Nev)","$180300","$204450"
"Jerry Moran (R-Kan)","$173199","$174199"
"Cheri Beasley (D-NC)","$168025","$180175"
"Gary Peters (D-Mich)","$167360","$169560"
"Drew Ferguson (R-Ga)","$161490","$161710"
"Peter Welch (D-Vt)","$157600","$161500"
"Patrick McHenry (R-NC)","$152300","$152300"
"Nancy Pelosi (D-Calif)","$150837","$162999"
"Lori Trahan (D-Mass)","$149644","$150644"
"Henry Cuellar (D-Texas)","$146529","$153629"
"Joe Manchin (D-WVa)","$146327","$149227"
"Jon Tester (D-Mont)","$146129","$146129"
"Dave McCormick (R)","$144350","$165650"
"James Lankford (R-Okla)","$140456","$147506"
"Blaine Luetkemeyer (R-Mo)","$138742","$148442"
"Val Demings (D-Fla)","$136692","$152669"
"Bob Casey (D-Pa)","$136044","$138944"
"Ben Ray Lujan (D-NM)","$133800","$133800"
"Martin Heinrich (D-NM)","$132350","$132350"
"Steven Horsford (D-Nev)","$131006","$133906"
"Brett Guthrie (R-Ky)","$127700","$128200"
"Tammy Duckworth (D-Ill)","$125885","$130885"
"Abigail Spanberger (D-Va)","$125187","$130899"
"Chris Stewart (R-Utah)","$124700","$125700"
"Mandela Barnes (D-Wis)","$124363","$135863"
"Jason Smith (R-Mo)","$121710","$126110"
"Luke Holland (R)","$118800","$122925"
"Rob Menendez (D-NJ)","$118656","$119906"
"Pete Aguilar (D-Calif)","$116550","$122350"
"Steny H Hoyer (D-Md)","$116420","$132420"
"Richard Hudson (R-NC)","$114570","$118570"
"Katherine Clark (D-Mass)","$114435","$114935"
"French Hill (R-Ark)","$113020","$113020"
"John Curtis (R-Utah)","$111800","$111800"
"Patrick Leahy (D-Vt)","$111348","$113848"
"Tim Kaine (D-Va)","$110878","$114778"
"Dan Newhouse (R-Wash)","$110150","$110400"
"Rodney Davis (R)","$110045","$112045"
"Elaine Luria (D-Va)","$109993","$112493"
"Ashley Hinson (R-Iowa)","$107800","$114450"
"Adam Kinzinger (R-Ill)","$107800","$110700"
"Bill Hagerty (R-Tenn)","$107750","$116600"
"Mikie Sherrill (D-NJ)","$106940","$108440"
"Dan Kildee (D-Mich)","$106720","$111720"
"Mike Simpson (R-Idaho)","$105669","$107169"
"John Kennedy (R-La)","$105050","$113350"
"Haley Stevens (D-Mich)","$104862","$108262"
"James E Clyburn (D-SC)","$103800","$103800"
"Lucy McBath (D-Ga)","$103251","$104751"
"Rosa DeLauro (D-Conn)","$102362","$102862"
"Tom Cole (R-Okla)","$101600","$104600"
"Brian Schatz (D-Hawaii)","$101290","$101540"
"Ann Kuster (D-NH)","$100850","$100850"
"John Fetterman (D-Pa)","$99693","$119734"
"Angie Craig (D-Minn)","$98231","$98231"
"Scott Peters (D-Calif)","$96600","$97100"
"Josh Gottheimer (D-NJ)","$95958","$102008"
"Heather Mizeur (D-Md)","$93475","$97600"
"Sam Graves (R-Mo)","$92100","$92100"
"Joyce Beatty (D-Ohio)","$91250","$91250"
"Adrian Smith (R-Neb)","$91100","$91600"
"Chrissy Houlahan (D-Pa)","$90894","$91894"
