"REPRESENTATIVE","PARTY","STATE","VOTE_2009","VOTE_2019"
"Speier","Democratic","California","AYE","AYE"
"Thompson (CA)","Democratic","California","AYE","AYE"
"Thompson (MS)","Democratic","Mississippi","AYE","NOT VOTING"
"Thompson (PA)","Republican","Pennsylvania","NO","NO"
"Thornberry","Republican","Texas","NO","NO"
"Titus","Democratic","Nevada","AYE","NOT VOTING"
"Tonko","Democratic","New York","AYE","AYE"
"Turner","Republican","Ohio","NO","NO"
"Upton","Republican","Michigan","NO","NO"
"Velázquez","Democratic","New York","AYE","AYE"
"Visclosky","Democratic","Indiana","NO","AYE"
"Walden","Republican","Oregon","NO","NO"
"Wasserman Schultz","Democratic","Florida","AYE","AYE"
"Waters","Democratic","California","AYE","AYE"
"Welch","Democratic","Vermont","AYE","AYE"
"Wilson (SC)","Republican","South Carolina","NO","NO"
"Wittman","Republican","Virginia","NO","NO"
"Yarmuth","Democratic","Kentucky","AYE","AYE"
