"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"356","Pascrell","Bill Jr","NJ","D","New Jersey",2500,0,0,2000,2500,0
"357","Payne","Donald M Jr","NJ","D","New Jersey",2500,0,500,0,0,0
"358","Scott","David","GA","D","Georgia",2500,0,0,0,0,0
"359","Sinema","Kyrsten","AZ","D","Arizona",2500,0,5000,2500,21497,1250
"360","Vargas","Juan","CA","D","California",2500,0,0,0,1000,0
"361","Waters","Maxine","CA","D","California",2500,10400,10400,0,1000,1000
"362","Wilson","Frederica","FL","D","Florida",2500,0,0,0,1000,0
"363","Barber","Ron","AZ","D","Arizona",2450,0,3500,1700,22265,12200
"364","Desjarlais","Scott","TN","R","Tennessee",2250,1000,1000,0,0,0
"365","Gabbard","Tulsi","HI","D","Hawaii",2250,0,0,1000,2500,17150
"366","Enyart","William","IL","D","Illinois",2100,16600,20100,1000,0,3000
"367","Coble","Howard","NC","R","North Carolina",2000,0,0,1000,0,0
"368","Davis","Danny K","IL","D","Illinois",2000,0,500,0,1000,1000
"369","Engel","Eliot","NY","D","New York",2000,0,3600,0,2000,0
"370","Miller","George","CA","D","California",2000,0,0,0,0,0
"371","Petri","Tom","WI","R","Wisconsin",2000,0,500,0,0,0
"372","Ros-Lehtinen","Ileana","FL","R","Florida",2000,0,0,0,5600,0
"373","Runyan","Jon","NJ","R","New Jersey",2000,0,0,2000,1000,2000
"374","Sherman","Brad","CA","D","California",2000,0,0,0,0,0
"375","Kelly","Robin","IL","D","Illinois",1750,0,0,0,1000,0
"376","Castor","Kathy","FL","D","Florida",1500,0,0,1000,2500,250
"377","DeGette","Diana","CO","D","Colorado",1500,0,0,0,4500,250
"378","Quigley","Mike","IL","D","Illinois",1500,0,0,0,5100,0
"379","Sanchez","Loretta","CA","D","California",1500,0,0,0,1000,0
"380","Smith","Adam","WA","D","Washington",1500,0,0,0,3000,500
"381","Grayson","Alan","FL","D","Florida",1450,0,0,0,8983,0
"382","Roybal-Allard","Lucille","CA","D","California",1300,0,0,0,1000,0
"383","Bonner","Jo","AL","R","Alabama",1000,0,1000,1000,0,0
"384","Campbell","John","CA","R","California",1000,0,0,0,0,0
"385","Clawson","Curt","FL","R","Florida",1000,0,500,0,0,250
"386","Esty","Elizabeth","CT","D","Connecticut",1000,0,1150,1000,61280,4600
"387","Michaud","Mike","ME","D","Maine",1000,0,0,1000,0,0
"388","Price","David","NC","D","North Carolina",1000,0,0,0,4000,250
"389","Schultz","Debbie Wasserman","FL","D","Florida",1000,0,0,1000,31350,5750
"390","Schwartz","Allyson","PA","D","Pennsylvania",1000,0,0,0,0,0
"391","Scott","Bobby","VA","D","Virginia",1000,0,0,0,750,0
"392","Fortenberry","Jeff","NE","R","Nebraska",800,0,0,0,0,2000
"393","Langevin","Jim","RI","D","Rhode Island",800,0,0,0,1000,500
"394","Brownley","Julia","CA","D","California",500,0,0,0,55362,1750
"395","Cicilline","David","RI","D","Rhode Island",500,0,0,0,1000,4000
"396","Johnson","Hank","GA","D","Georgia",500,0,0,0,2500,0
"397","Lowey","Nita M","NY","D","New York",500,0,0,0,6850,0
"398","Maffei","Dan","NY","D","New York",500,0,0,500,18268,4500
"399","Nolan","Rick","MN","D","Minnesota",500,1000,12800,0,10451,3000
"400","Owens","Bill","NY","D","New York",500,0,400,0,0,0
"401","Smith","Chris","NJ","R","New Jersey",500,0,0,0,0,0
"402","Bonamici","Suzanne","OR","D","Oregon",250,0,0,0,6390,3000
"403","Cohen","Steve","TN","D","Tennessee",250,0,0,0,5250,0
"404","Farr","Sam","CA","D","California",250,0,0,0,17550,500
"405","Pelosi","Nancy","CA","D","California",250,0,0,0,25800,4000
"406","Pingree","Chellie","ME","D","Maine",250,0,0,0,9700,2000
"407","McKeon","Buck","CA","R",NA,0,5000,5000,0,0,0
"408","Chu","Judy","CA","D",NA,0,2500,2500,0,2000,0
"409","McLeod","Gloria","CA","D",NA,0,0,2500,0,0,500
"410","Pastor","Ed","AZ","D",NA,0,0,2500,0,0,0
"411","DeLauro","Rosa","CT","D",NA,0,0,1400,0,5500,0
"412","Wolf","Frank","VA","R",NA,0,0,0,1000,0,200
"413","Shea-Porter","Carol","NH","D",NA,0,0,0,0,55787,0
"414","Holt","Rush","NJ","D",NA,0,0,0,0,25550,2750
"415","Garamendi","John","CA","D",NA,0,0,0,0,16094,5100
"416","Grijalva","Raul M","AZ","D",NA,0,0,0,0,10801,0
"417","Schakowsky","Jan","IL","D",NA,0,0,0,0,9800,8500
"418","McDermott","Jim","WA","D",NA,0,0,0,0,7250,500
"419","Davis","Susan","CA","D",NA,0,0,0,0,6500,0
"420","Adams","Alma","NC","D",NA,0,0,0,0,6390,0
"421","Tsongas","Niki","MA","D",NA,0,0,0,0,5000,1000
"422","Yarmuth","John","KY","D",NA,0,0,0,0,4750,0
"423","Lewis","John","GA","D",NA,0,0,0,0,4500,0
"424","Cartwright","Matt","PA","D",NA,0,0,0,0,4000,0
"425","Takano","Mark","CA","D",NA,0,0,0,0,3700,5200
"426","Schiff","Adam","CA","D",NA,0,0,0,0,3250,0
"427","Slaughter","Louise M","NY","D",NA,0,0,0,0,2250,6000
"428","Bordallo","Madeleine Z","GU","D",NA,0,0,0,0,2000,0
"429","Cleaver","Emanuel","MO","D",NA,0,0,0,0,2000,0
"430","Speier","Jackie","CA","D",NA,0,0,0,0,2000,2000
"431","McCollum","Betty","MN","D",NA,0,0,0,0,1077,0
"432","Clay","William L Jr","MO","D",NA,0,0,0,0,1000,0
"433","Deutch","Ted","FL","D",NA,0,0,0,0,1000,2000
"434","Gutierrez","Luis V","IL","D",NA,0,0,0,0,1000,0
"435","Moore","Gwen","WI","D",NA,0,0,0,0,1000,0
"436","Young","C W Bill","FL","R",NA,0,0,0,0,1000,0
"437","Hastings","Alcee","FL","D",NA,0,0,0,0,300,0
"438","Jeffries","Hakeem","NY","D",NA,0,0,0,0,200,1000
"439","Meng","Grace","NY","D",NA,0,0,0,0,0,1000
