"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"46","Lucas","Frank D","OK","R","Oklahoma",101450,1500,2500,10000,0,1000
"47","Thornberry","Mac","TX","R","Texas",101375,0,0,0,0,1750
"48","Smith","Lamar","TX","R","Texas",100150,1000,2000,0,0,0
"49","Costa","Jim","CA","D","California",99929,3000,10500,23999,3500,4000
"50","Weber","Randy","TX","R","Texas",97800,0,0,14350,3600,0
"51","Rodgers","Cathy McMorris","WA","R","Washington",96600,3500,21250,6000,1000,0
"52","Camp","Dave","MI","R","Michigan",96499,9000,15500,23499,0,3500
"53","Hensarling","Jeb","TX","R","Texas",95800,0,10400,15200,0,0
"54","Terry","Lee","NE","R","Nebraska",95750,5000,8555,21000,0,32350
"55","Neugebauer","Randy","TX","R","Texas",94900,0,2600,1000,0,2500
"56","Poe","Ted","TX","R","Texas",94200,0,0,21750,0,1000
"57","Southerland","Steve","FL","R","Florida",92250,6600,7600,0,2000,1250
"58","Culberson","John","TX","R","Texas",92150,0,0,6000,0,0
"59","Simpson","Mike","ID","R","Idaho",92000,9000,46200,10500,14150,1250
"60","Lummis","Cynthia","WY","R","Wyoming",91050,22500,29750,9000,0,0
"61","Tiberi","Pat","OH","R","Ohio",90350,2500,7000,8500,0,0
"62","Kelly","Mike","PA","R","Pennsylvania",89850,45200,60150,34950,0,0
"63","Davis","Rodney","IL","R","Illinois",85690,61665,110312,12500,0,17600
"64","McKinley","David","WV","R","West Virginia",84450,116850,193150,20250,0,0
"65","Latta","Bob","OH","R","Ohio",84000,0,2000,15000,1000,11700
"66","Granger","Kay","TX","R","Texas",83850,0,2000,0,0,0
"67","Issa","Darrell","CA","R","California",82400,1800,12650,11350,0,4250
"68","McCaul","Michael","TX","R","Texas",82050,1000,3600,19500,0,0
"69","Valadao","David","CA","R","California",81150,0,4000,3000,0,0
"70","Kinzinger","Adam","IL","R","Illinois",80600,3000,6000,16000,0,11500
"71","Rothfus","Keith J","PA","R","Pennsylvania",79550,71240,127304,16700,0,0
"72","Huelskamp","Tim","KS","R","Kansas",73550,0,0,4250,0,5200
"73","Roskam","Peter","IL","R","Illinois",73550,1000,3000,17750,0,0
"74","Bridenstine","James","OK","R","Oklahoma",72950,0,0,3500,0,0
"75","Denham","Jeff","CA","R","California",71798,2500,10700,13000,0,0
"76","Nunes","Devin","CA","R","California",70500,0,1000,6000,0,3600
"77","Gibbs","Bob","OH","R","Ohio",69800,14600,18100,20100,0,0
"78","Yoder","Kevin","KS","R","Kansas",68700,1000,13400,2000,0,23900
"79","Burgess","Michael","TX","R","Texas",67956,0,0,0,0,0
"80","Renacci","Jim","OH","R","Ohio",66199,0,0,8000,0,1000
"81","Nunnelee","Alan","MS","R","Mississippi",66100,3000,10200,4600,0,500
"82","Stewart","Chris","UT","R","Utah",65350,2500,10000,8250,0,7800
"83","Royce","Ed","CA","R","California",64900,0,6200,0,3500,0
"84","Guthrie","Brett","KY","R","Kentucky",64750,14600,18850,8750,0,0
"85","Noem","Kristi","SD","R","South Dakota",64550,2000,3000,9000,0,32050
"86","Meehan","Patrick","PA","R","Pennsylvania",64400,0,0,25600,0,0
"87","Ellmers","Renee","NC","R","North Carolina",62250,1000,1000,10000,0,0
"88","Kingston","Jack","GA","R","Georgia",61175,7500,15345,13350,3500,250
"89","Black","Diane","TN","R","Tennessee",60625,1000,2000,5000,0,0
"90","Lamborn","Doug","CO","R","Colorado",59000,9000,17500,4000,1000,0
"91","Walberg","Tim","MI","R","Michigan",58750,13000,20000,1000,0,0
"92","Palazzo","Steven","MS","R","Mississippi",57850,0,0,4000,3600,0
"93","Wagner","Ann","MO","R","Missouri",57500,40650,44150,2000,0,0
"94","Pitts","Joe","PA","R","Pennsylvania",57000,1500,3500,10500,0,0
"95","Marchant","Kenny","TX","R","Texas",56400,0,1000,8000,0,0
