"Representative","State","Amount"
"Schwartz Gail (D-CO)","Colorado","$97336"
"Cain Emily (D-ME)","Maine","$87558"
"Carroll Morgan (D-CO)","Colorado","$61157"
"Kihuen Ruben (D-NV)","Nevada","$59040"
"Banks Jim (R-IN)","Indiana","$57650"
"Eggman Michael (D-CA)","California","$46508"
"McNerney Jerry (D-CA)","California","$46457"
"Bera Ami (D-CA)","California","$44633"
"Juneau Denise (D-MT)","Montana","$44373"
"Driskell Gretchen (D-MI)","Michigan","$43935"
"Shea-Porter Carol (D-NH)","New Hampshire","$43880"
"Kuster Ann (D-NH)","New Hampshire","$42911"
"Barragan Nanette (D-CA)","California","$40486"
"Carbajal Salud (D-CA)","California","$40137"
"Deacon Colleen (D-NY)","New York","$38847"
"Rosen Jacky (D-NV)","Nevada","$38553"
"Kilmer Derek (D-WA)","Washington","$38079"
"Santarsiero Steve (D-PA)","Pennsylvania","$36447"
"Bennett LuAnn (D-VA)","Virginia","$35476"
"Gallego Pete (D-TX)","Texas","$35064"
"DelBene Suzan (D-WA)","Washington","$33957"
"Craig Angie (D-MN)","Minnesota","$31975"
"Johnson Lon (D-MI)","Michigan","$31858"
"Aguilar Pete (D-CA)","California","$30846"
"Honda Mike (D-CA)","California","$30625"
"Schneider Brad (D-IL)","Illinois","$30354"
"Teachout Zephyr (D-NY)","New York","$30170"
"Foster Bill (D-IL)","Illinois","$28519"
"Huffman Jared (D-CA)","California","$27849"
"Esty Elizabeth (D-CT)","Connecticut","$27659"
"Mowrer Jim (D-IA)","Iowa","$27524"
"Gottheimer Josh (D-NJ)","New Jersey","$27509"
"Peters Scott (D-CA)","California","$27449"
"Vernon Monica (D-IA)","Iowa","$27350"
"Ruiz Raul (D-CA)","California","$27078"
"Murphy Stephanie (D-FL)","Florida","$26440"
"Raskin Jamie (D-MD)","Maryland","$25784"
"Brownley Julia (D-CA)","California","$25623"
"Caforio Bryan (D-CA)","California","$24807"
"Krishnamoorthi Raja (D-IL)","Illinois","$24665"
"Crist Charlie (D-FL)","Florida","$24201"
"Ryan Paul (R-WI)","Wisconsin","$23920"
"Throne-Holst Anna (D-NY)","New York","$23430"
"Owens Doug (D-UT)","Utah","$22557"
"Schultz Debbie Wasserman (D-FL)","Florida","$22330"
"Graves Garret (R-LA)","Louisiana","$20550"
"Kennedy Joe III (D-MA)","Massachusetts","$19750"
"Yoder Shelli (D-IN)","Indiana","$19610"
"Pelosi Nancy (D-CA)","California","$19295"
"Nelson Tom (D-WI)","Wisconsin","$18753"
"Clements Paul (D-MI)","Michigan","$17364"
"Ellison Keith (D-MN)","Minnesota","$17245"
"Grijalva Raul M (D-AZ)","Arizona","$17218"
"Lofgren Zoe (D-CA)","California","$17100"
"Panetta Jimmy (D-CA)","California","$17100"
"Lee Barbara (D-CA)","California","$17098"
"Bustos Cheri (D-IL)","Illinois","$16006"
"Bonoff Terri (D-MN)","Minnesota","$15646"
"McEachin Donald (D-VA)","Virginia","$15405"
"Plumb John (D-NY)","New York","$14943"
"Bishop Rob (R-UT)","Utah","$14750"
"Nolan Rick (D-MN)","Minnesota","$14667"
"Eshoo Anna (D-CA)","California","$14500"
"Price David (D-NC)","North Carolina","$14029"
"Thompson Mike (D-CA)","California","$14000"
"Rice Kathleen (D-NY)","New York","$13800"
"Speier Jackie (D-CA)","California","$13800"
"Loebsack David (D-IA)","Iowa","$13750"
"Cartwright Matt (D-PA)","Pennsylvania","$13671"
"Lowey Nita M (D-NY)","New York","$13316"
"Boehner John (R-OH)","Ohio","$13200"
"Moulton Seth (D-MA)","Massachusetts","$13100"
"Jayapal Pramila (D-WA)","Washington","$12350"
"Tonko Paul (D-NY)","New York","$11957"
"Applegate Douglas L (D-CA)","California","$11551"
"Delaney John K (D-MD)","Maryland","$11438"
"DeGette Diana (D-CO)","Colorado","$11150"
"Hartman Christina (D-PA)","Pennsylvania","$11091"
"Polis Jared (D-CO)","Colorado","$10975"
"Curbelo Carlos (R-FL)","Florida","$10750"
"Schakowsky Jan (D-IL)","Illinois","$10750"
