Sector;Total;Individuals;PACs
Agribusiness;$24,900;$17,400;$7,500
Communications/Electronics;$124,600;$91,600;$33,000
Construction;$133,250;$61,000;$72,250
Defense;$170,600;$98,400;$72,200
Energy & Natural Resources;$170,475;$55,475;$115,000
Finance, Insurance & Real Estate;$108,450;$100,450;$8,000
Health;$70,000;$48,000;$22,000
Lawyers & Lobbyists;$222,175;$171,504;$50,671
Transportation;$45,249;$20,449;$24,800
Misc Business;$224,450;$171,450;$53,000
Labor;$170,000;$0;$170,000
Ideological/Single-Issue;$6,825;$0;$6,825
Other;$123,765;$113,765;$10,000
