LastName,FirstName,StateAbbreviation.x,Party.x,Amount.oil,Amount.coal,Amount.mining,Amount.gas,Amount.env,Amount.alt_en
Adams,Alma,NC,D,0,0,0,0,6390,0
Aderholt,Robert B,AL,R,17500,13648,18397,0,0,0
Aguilar,Pete,CA,D,500,0,0,0,43561,250
Allen,Richard W,GA,R,39750,0,1750,10200,0,0
Amash,Justin,MI,R,28000,0,0,0,0,0
Amodei,Mark,NV,R,8750,0,28000,2500,0,3000
Ashford,Brad,NE,D,500,0,0,0,8990,0
Babin,Brian,TX,R,41050,0,0,2500,0,0
Barletta,Lou,PA,R,33020,750,1750,4500,0,0
Barr,Andy,KY,R,41050,168131,240810,1500,0,700
Barton,Joe,TX,R,142100,5500,10500,9500,0,0
Bass,Karen,CA,D,3250,0,3500,750,3600,1000
Beatty,Joyce,OH,D,4500,0,0,0,1500,0
Becerra,Xavier,CA,D,8000,0,0,2500,4000,1000
Benishek,Dan,MI,R,113950,3000,18599,1500,2000,0
Bera,Ami,CA,D,14150,0,0,0,84869,2750
Beutler,Jaime Herrera,WA,R,23100,0,1250,2000,4750,666
Beyer,Don,VA,D,8700,0,0,5100,17540,6450
Bilirakis,Gus,FL,R,32500,1000,1000,1000,0,0
Bishop,Mike,MI,R,24500,0,400,1000,0,0
Bishop,Rob,UT,R,110600,7500,17750,11000,5750,3599
Bishop,Sanford,GA,D,9000,1000,6000,0,0,0
Black,Diane,TN,R,60625,1000,2000,5000,0,0
Blackburn,Marsha,TN,R,101600,1000,4000,13500,0,0
Blum,Rod,IA,R,6450,0,0,0,0,6250
Blumenauer,Earl,OR,D,2500,0,0,2000,11250,8842
Bonamici,Suzanne,OR,D,250,0,0,0,6390,3000
Bordallo,Madeleine Z,GU,D,0,0,0,0,0,0
Bost,Mike,IL,R,30300,16900,16900,0,0,0
Boustany,Charles Jr,LA,R,236350,0,0,38250,0,0
Boyle,Brendan,PA,D,11000,0,0,3000,4990,0
Brady,Kevin,TX,R,321650,3000,3000,49950,0,1000
Brady,Robert A,PA,D,18525,0,0,5000,0,0
Brat,Dave,VA,R,24500,0,500,0,0,1000
Bridenstine,James,OK,R,72950,0,0,3500,0,0
Brooks,Mo,AL,R,5500,2500,2500,0,0,0
Brooks,Susan,IN,R,40750,0,1000,1500,0,4000
Brown,Corrine,FL,D,5000,0,0,0,0,0
Brownley,Julia,CA,D,500,0,0,0,55362,1750
Buchanan,Vernon,FL,R,3000,0,0,3000,0,0
Buck,Ken,CO,R,124450,2000,7600,15350,0,500
Bucshon,Larry,IN,R,20300,51050,98500,0,0,500
Burgess,Michael,TX,R,67956,0,0,0,0,0
