Sector;Total;Individuals;PACs
Agribusiness;$950;$950;$0
Communications/Electronics;$10,450;$4,250;$6,200
Construction;$16,250;$7,250;$9,000
Defense;$0;$0;$0
Energy & Natural Resources;$1,750;$1,750;$0
Finance, Insurance & Real Estate;$71,040;$60,040;$11,000
Health;$26,700;$15,200;$11,500
Lawyers & Lobbyists;$30,897;$27,697;$3,200
Transportation;$5,800;$4,300;$1,500
Misc Business;$19,550;$13,800;$5,750
Labor;$124,000;$0;$124,000
Ideological/Single-Issue;$88,296;$31,100;$57,196
Other;$77,499;$77,499;$0
