Surname, Name
DeLauro, Rosa (Connecticut Democrat, District 3)
DeMint, Jim (South Carolina Republican, Senate)
Dent, Charlie (Pennsylvania Republican, District 15)
Deutch, Ted (Florida Democrat, District 19)
Diaz-Balart, Lincoln (Florida Republican, District 21)
Diaz-Balart, Mario (Florida Republican, District 25)
Dicks, Norm (Washington Democrat, District 6)
Dingell, John D (Michigan Democrat, District 15)
Djou, Charles (Hawaii Republican, District 1)
Dodd, Chris (Connecticut Democrat, Senate)
Doggett, Lloyd (Texas Democrat, District 25)
Donnelly, Joe (Indiana Democrat, District 2)
Dorgan, Byron L (North Dakota Democrat, Senate)
Doyle, Mike (Pennsylvania Democrat, District 14)
Dreier, David (California Republican, District 26)
Driehaus, Steve (Ohio Democrat, District 1)
Duncan, John J Jr (Tennessee Republican, District 2)
Durbin, Dick (Illinois Democrat, Senate)

E

Edwards, Chet (Texas Democrat, District 17)
Edwards, Donna (Maryland Democrat, District 4)
Ehlers, Vernon J (Michigan Republican, District 3)
Ellison, Keith (Minnesota Democrat, District 5)
Ellsworth, Brad (Indiana Democrat, District 8)
Emerson, Jo Ann (Missouri Republican, District 8)
Engel, Eliot (New York Democrat, District 17)
Ensign, John (Nevada Republican, Senate)
Enzi, Mike (Wyoming Republican, Senate)
Eshoo, Anna (California Democrat, District 14)
Etheridge, Bob (North Carolina Democrat, District 2)

F

Faleomavaega, Eni F H (American Samoa Democrat, At Large)
Farr, Sam (California Democrat, District 17)
Fattah, Chaka (Pennsylvania Democrat, District 2)
Feingold, Russ (Wisconsin Democrat, Senate)
Feinstein, Dianne (California Democrat, Senate)
Filner, Bob (California Democrat, District 51)
Flake, Jeff (Arizona Republican, District 6)
Fleming, John (Louisiana Republican, District 4)
Forbes, Randy (Virginia Republican, District 4)
Fortenberry, Jeff (Nebraska Republican, District 1)
Foster, Bill (Illinois Democrat, District 14)
Foxx, Virginia (North Carolina Republican, District 5)
Frank, Barney (Massachusetts Democrat, District 4)
Franken, Al (Minnesota Democrat, Senate)
Franks, Trent (Arizona Republican, District 2)
Frelinghuysen, Rodney (New Jersey Republican, District 11)
Fudge, Marcia (Ohio Democrat, District 11)

G

Gallegly, Elton (California Republican, District 24)
Garamendi, John (California Democrat, District 10)
Garrett, Scott (New Jersey Republican, District 5)
Gerlach, Jim (Pennsylvania Republican, District 6)
Giffords, Gabrielle (Arizona Democrat, District 8)
