"Recipient","From Lobbyists","From Lobbyists + Family"
"Hillary Clinton (D-NY)","$2024075","$2436597"
"John McCain (R)","$1750149","$2163424"
"Barack Obama (D)","$598082","$1100476"
"Chris Dodd (D-Conn)","$581420","$710720"
"Mitch McConnell (R-Ky)","$559547","$670774"
"Mark Warner (D-Va)","$556673","$640695"
"Mitt Romney (R)","$444689","$578765"
"Max Baucus (D-Mont)","$443150","$496600"
"Mary L Landrieu (D-La)","$405341","$440241"
"Rudolph W Giuliani (R)","$385988","$469538"
"Saxby Chambliss (R-Ga)","$354135","$431085"
"John E Sununu (R-NH)","$353664","$429513"
"Susan Collins (R-Maine)","$330818","$378168"
"Arlen Specter (R-Pa)","$320328","$356378"
"Tom Harkin (D-Iowa)","$309964","$352289"
"Norm Coleman (R-Minn)","$309018","$373446"
"John P Murtha (D-Pa)","$300325","$346725"
"Mark Udall (D-Colo)","$297834","$341869"
"Gordon H Smith (R-Ore)","$269805","$310455"
"John Cornyn (R-Texas)","$259557","$299232"
"Ted Stevens (R-Alaska)","$247693","$301943"
"Dick Durbin (D-Ill)","$247011","$267805"
"Tim Johnson (D-SD)","$227926","$264790"
"Charles B Rangel (D-NY)","$224088","$239788"
"Harry Reid (D-Nev)","$221083","$246372"
"Elizabeth Dole (R-NC)","$220321","$266291"
"Bill Richardson (D)","$219850","$261950"
"Patty Murray (D-Wash)","$217690","$244417"
"Pat Roberts (R-Kan)","$215680","$261080"
"Tom Udall (D-NM)","$208756","$231206"
"Jay Rockefeller (D-WVa)","$204177","$217677"
"Jack Reed (D-RI)","$199107","$214406"
"Mark Pryor (D-Ark)","$191035","$201385"
"Frank Lautenberg (D-NJ)","$181909","$208459"
"Joe Biden (D-Del)","$181500","$222350"
"Roger Wicker (R-Miss)","$169700","$196400"
"Jeanne Shaheen (D-NH)","$169580","$195580"
"Judith Feder (D-Va)","$163150","$185800"
"James L Oberstar (D-Minn)","$162411","$174661"
"James M Inhofe (R-Okla)","$161550","$183204"
"Fred Thompson (R)","$161050","$195180"
"Lamar Alexander (R-Tenn)","$160300","$189900"
"James E Clyburn (D-SC)","$158355","$166605"
"Chris Van Hollen (D-Md)","$153577","$163377"
"John D Dingell (D-Mich)","$152415","$171915"
"Byron L Dorgan (D-ND)","$147586","$156336"
"Steny H Hoyer (D-Md)","$144993","$166893"
"Dan Maffei (D-NY)","$143690","$164290"
"Carl Levin (D-Mich)","$137591","$153441"
"John Boehner (R-Ohio)","$131300","$143700"
"Lindsey Graham (R-SC)","$130300","$145100"
"Nancy Pelosi (D-Calif)","$130100","$154700"
"David R Obey (D-Wis)","$129490","$141540"
"Norm Dicks (D-Wash)","$128204","$142954"
"John Kerry (D-Mass)","$128000","$145950"
"Jason Altmire (D-Pa)","$126917","$141430"
"Pete Visclosky (D-Ind)","$125404","$137604"
"Eric Cantor (R-Va)","$124825","$136325"
"Jeff Sessions (R-Ala)","$123548","$135198"
"Ed Markey (D-Mass)","$123325","$128025"
"Dave Camp (R-Mich)","$119210","$136260"
"Barbara Boxer (D-Calif)","$111685","$129185"
"Allyson Schwartz (D-Pa)","$109655","$121255"
"Roy Blunt (R-Mo)","$108248","$138148"
"Jim Moran (D-Va)","$105700","$128600"
"Richard C Shelby (R-Ala)","$105577","$126477"
"Joe Knollenberg (R-Mich)","$104257","$117916"
"Ken Salazar (D-Colo)","$103534","$113234"
"Patrick J Kennedy (D-RI)","$102593","$108733"
"Mike Johanns (R-Neb)","$102267","$113067"
"Frank Pallone Jr. (D-NJ)","$101213","$112863"
"Rick Boucher (D-Va)","$100804","$107554"
"C W Bill Young (R-Fla)","$98700","$107300"
"John A Barrasso (R-Wyo)","$98456","$114806"
"Don Young (R-Alaska)","$96872","$111122"
"Thad Cochran (R-Miss)","$95869","$109469"
"Patrick J Murphy (D-Pa)","$95327","$110427"
"Jim DeMint (R-SC)","$94390","$103390"
"Bennie G Thompson (D-Miss)","$93843","$99326"
"Daniel K Inouye (D-Hawaii)","$92593","$96593"
"Earl Pomeroy (D-ND)","$92456","$99456"
"Jim Slattery (D-Kan)","$92297","$105297"
"Tom Davis (R-Va)","$92082","$105182"
"Ed Pastor (D-Ariz)","$91366","$104716"
"Rosa DeLauro (D-Conn)","$90820","$96720"
"Tom H Allen (D-Maine)","$89053","$103153"
"Paul E Kanjorski (D-Pa)","$88000","$102200"
"Ciro D Rodriguez (D-Texas)","$87933","$97283"
"Al Franken (D-Minn)","$87810","$100660"
"Kay R Hagan (D-NC)","$87220","$102670"
"Patrick Leahy (D-Vt)","$87150","$90650"
"Richard E Neal (D-Mass)","$85030","$92030"
"Phil English (R-Pa)","$84750","$97000"
"Chris Carney (D-Pa)","$84688","$92938"
"Barney Frank (D-Mass)","$82863","$95713"
"Jeff Merkley (D-Ore)","$82600","$100600"
"James T Walsh (R-NY)","$82502","$88502"
"Pete V Domenici (R-NM)","$81493","$98093"
"Bill Nelson (D-Fla)","$81012","$85046"
"Ronnie Musgrove (D-Miss)","$81002","$100902"
