Sector;Total;Individuals;PACs
Agribusiness;$124,024;$57,824;$66,200
Communications/Electronics;$83,140;$7,550;$75,590
Construction;$92,550;$40,550;$52,000
Defense;$16,500;$0;$16,500
Energy & Natural Resources;$72,250;$9,500;$62,750
Finance, Insurance & Real Estate;$531,450;$195,450;$336,000
Health;$388,229;$98,400;$289,829
Lawyers & Lobbyists;$149,830;$118,182;$31,648
Transportation;$150,150;$57,150;$93,000
Misc Business;$259,549;$131,050;$128,499
Labor;$11,000;$0;$11,000
Ideological/Single-Issue;$180,650;$5,900;$174,750
Other;$125,055;$125,055;$0
